Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,3,4,2,3,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
0,1,3,4,2,3,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
0,2,3,4,2,3,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
1,0,3,4,4,5,-1,0,(1),(2),(B),1,0,0
1,1,3,4,4,5,-1,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
1,2,3,4,4,5,-1,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
2,0,4,5,3,4,-1,0,(1),(2),(B),1,1,0
2,1,4,5,3,4,-1,0,(1),(2),(B),1,0,0
2,2,4,5,3,4,-1,0,(2),(2),(B),1,0,0
3,0,4,5,2,3,-1,0,(1),(2),(B),1,1,0
3,1,4,5,2,3,-1,0,(1),(2),(B),1,0,1
3,2,4,5,2,3,-1,0,(2),(1),(B),1,1,0
4,0,2,3,4,5,-1,0,(1),(2),(B),1,1,0
4,1,2,3,4,5,-1,0,(1),(2),(A),1,1,1
4,2,2,3,4,5,-1,0,(1),(2),(B),1,1,0
5,0,2,3,4,5,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
5,1,2,3,4,5,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
5,2,2,3,4,5,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
6,0,4,5,2,3,-1,0,(2),(1),(B),1,0,0
6,1,4,5,2,3,-1,0,(2),(2),(B),1,0,1
6,2,4,5,2,3,-1,0,(3),(2),(B),1,1,1
7,0,4,5,3,4,-1,0,(2),(1),(B),1,0,0
7,1,4,5,3,4,-1,0,(1),(2),(B),1,0,0
7,2,4,5,3,4,-1,0,(1),(2),(B),1,1,0
8,0,3,4,4,5,-1,0,(3),(2),(B),1,1,0
8,1,3,4,4,5,-1,0,(1),(2),(B),1,0,0
8,2,3,4,4,5,-1,0,(2),(2),(B),1,0,0
9,0,2,3,3,4,-1,0,(3),(2),(B),1,0,1
9,1,2,3,3,4,-1,0,(2),(1),(A),1,1,0
9,2,2,3,3,4,-1,0,(3),(2),(B),1,1,0
10,0,2,3,4,5,-1,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
10,1,2,3,4,5,-1,0,(1),(2),(B),1,0,0
10,2,2,3,4,5,-1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
11,0,3,4,2,3,-1,0,(2),(1),(A),1,1,0
11,1,3,4,2,3,-1,0,(2),(1),(A),1,1,0
11,2,3,4,2,3,-1,0,(2),(1),(B),1,1,1
12,0,3,4,2,3,-1,0,(3),(2),(B),1,1,1
12,1,3,4,2,3,-1,0,(1),(2),(B),1,0,0
12,2,3,4,2,3,-1,0,(3),(2),(A),1,1,1
13,0,2,3,3,4,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
13,1,2,3,3,4,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
13,2,2,3,3,4,-1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
14,0,2,3,4,5,-1,0,(2),(2),(A),1,1,0
14,1,2,3,4,5,-1,0,(2),(1),(B),1,0,0
14,2,2,3,4,5,-1,0,(2),(1),(A),1,0,1
15,0,4,5,2,3,-1,0,(2),(2),(B),1,0,0
15,1,4,5,2,3,-1,0,(3),(2),(B),1,0,0
15,2,4,5,2,3,-1,0,(1),(2),(B),1,1,0
16,0,2,3,4,5,-1,0,(2),(2),(B),1,1,1
16,1,2,3,4,5,-1,0,(2),(1),(B),1,0,1
16,2,2,3,4,5,-1,0,(1),(2),(A),1,1,1
17,0,3,4,4,5,-1,0,(3),(2),(B),1,1,0
17,1,3,4,4,5,-1,0,(3),(2),(B),1,1,1
17,2,3,4,4,5,-1,0,(3),(1),(B),1,1,0
18,0,3,4,2,3,-1,0,(2),(1),(B),1,1,1
18,1,3,4,2,3,-1,0,(1),(2),(B),1,1,1
18,2,3,4,2,3,-1,0,(2),(1),(B),1,0,0
19,0,4,5,2,3,-1,0,(2),(1),(B),1,0,0
19,1,4,5,2,3,-1,0,(1),(2),(B),1,1,0
19,2,4,5,2,3,-1,0,(3),(2),(B),1,0,1
20,0,4,5,2,3,-1,0,(3),(2),(B),1,1,1
20,1,4,5,2,3,-1,0,(3),(2),(B),1,0,1
20,2,4,5,2,3,-1,0,(2),(1),(B),1,0,1
21,0,3,4,4,5,-1,0,(2),(2),(B),1,1,1
21,1,3,4,4,5,-1,0,(1),(2),(B),1,0,0
21,2,3,4,4,5,-1,0,(3),(2),(B),1,1,0
22,0,2,3,3,4,-1,0,(1),(2),(B),1,1,0
22,1,2,3,3,4,-1,0,(3),(2),(B),1,0,0
22,2,2,3,3,4,-1,0,(3),(2),(A),1,1,1
23,0,4,5,2,3,-1,0,(3),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
23,1,4,5,2,3,-1,0,(3),(2),(B),1,0,1
23,2,4,5,2,3,-1,0,(1),(2),(B),1,0,1
24,0,4,5,2,3,-1,0,(2),(1),(B),1,0,0
24,1,4,5,2,3,-1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
24,2,4,5,2,3,-1,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
25,0,2,3,3,4,-1,0,(2),(1),(A),1,1,0
25,1,2,3,3,4,-1,0,(3),(2),(B),1,0,0
25,2,2,3,3,4,-1,0,(1),(2),(B),1,0,1
26,0,3,4,2,3,-1,0,(2),(2),(B),1,1,0
26,1,3,4,2,3,-1,0,(2),(1),(A),1,1,0
26,2,3,4,2,3,-1,0,(3),(2),(B),1,0,0
27,0,3,4,4,5,-1,0,(2),(2),(B),1,0,1
27,1,3,4,4,5,-1,0,(1),(2),(B),1,0,1
27,2,3,4,4,5,-1,0,(3),(2),(B),1,0,0
28,0,4,5,2,3,-1,0,(1),(2),(B),1,1,0
28,1,4,5,2,3,-1,0,(3),(2),(B),1,0,1
28,2,4,5,2,3,-1,0,(2),(1),(B),1,0,1
29,0,2,3,3,4,-1,0,(2),(1),(A),1,1,0
29,1,2,3,3,4,-1,0,(3),(2),(B),1,0,0
29,2,2,3,3,4,-1,0,(1),(2),(B),1,0,1
30,0,2,3,3,4,-1,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
30,1,2,3,3,4,-1,0,(2),(2),(B),1,0,0
30,2,2,3,3,4,-1,0,(4),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
31,0,3,4,4,5,-1,0,(3),(2),(B),1,0,0
31,1,3,4,4,5,-1,0,(1),(2),(B),1,1,0
31,2,3,4,4,5,-1,0,(1),(2),(B),1,0,1
32,0,2,3,4,5,-1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
32,1,2,3,4,5,-1,0,(2),(2),(B),1,1,0
32,2,2,3,4,5,-1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
33,0,4,5,3,4,-1,0,(1),(2),(B),1,0,1
33,1,4,5,3,4,-1,0,(3),(2),(B),1,0,1
33,2,4,5,3,4,-1,0,(2),(1),(B),1,0,0
34,0,4,5,3,4,-1,0,(2),(1),(B),1,0,1
34,1,4,5,3,4,-1,0,(1),"[Skipped mcq#2, incorrect previous response]",(A),0,,1
34,2,4,5,3,4,-1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
35,0,4,5,2,3,-1,0,(1),(2),(B),1,1,0
35,1,4,5,2,3,-1,0,(3),(2),(B),1,0,0
35,2,4,5,2,3,-1,0,(1),(2),(B),1,1,1
36,0,2,3,3,4,-1,0,(2),(1),(B),1,0,0
36,1,2,3,3,4,-1,0,(3),(2),(B),1,0,0
36,2,2,3,3,4,-1,0,(2),(2),(B),1,0,0
37,0,3,4,2,3,-1,0,(1),(2),(B),1,1,0
37,1,3,4,2,3,-1,0,(1),(2),(B),1,0,0
37,2,3,4,2,3,-1,0,(3),(2),(B),1,1,0
38,0,2,3,3,4,-1,0,(2),(2),(B),1,1,0
