Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,3,1.0,6,2.0,x3,0,(3),(2),(B),1,0,1
0,1,3,1.0,6,2.0,x3,0,(3),(2),(B),1,0,0
0,2,3,1.0,6,2.0,x3,0,(3),(2),(B),1,1,1
1,0,6,2.0,9,3.0,x3,0,(3),(4),(C),1,0,1
1,1,6,2.0,9,3.0,x3,0,(2),(4),(B),1,0,0
1,2,6,2.0,9,3.0,x3,0,(1),(4),(A),1,0,1
2,0,9,3.0,6,2.0,x3,0,(1),(4),(A),1,0,0
2,1,9,3.0,6,2.0,x3,0,(2),(4),(B),1,0,1
2,2,9,3.0,6,2.0,x3,0,(1),(4),(A),1,0,0
3,0,9,3.0,3,1.0,x3,0,(3),(4),(C),1,0,0
3,1,9,3.0,3,1.0,x3,0,(2),(4),(B),1,0,0
3,2,9,3.0,3,1.0,x3,0,(1),(4),(A),1,0,0
4,0,6,2.0,9,3.0,x3,0,(2),(4),(B),1,0,0
4,1,6,2.0,9,3.0,x3,0,(1),(4),(A),1,0,1
4,2,6,2.0,9,3.0,x3,0,(3),(4),(C),1,0,0
5,0,3,1.0,9,3.0,x3,0,(5),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
5,1,3,1.0,9,3.0,x3,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
5,2,3,1.0,9,3.0,x3,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
6,0,6,2.0,3,1.0,x3,0,(3),(2),(B),1,0,0
6,1,6,2.0,3,1.0,x3,0,(3),(2),(B),1,0,1
6,2,6,2.0,3,1.0,x3,0,(2),(4),(B),1,0,0
7,0,3,1.0,9,3.0,x3,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
7,1,3,1.0,9,3.0,x3,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
7,2,3,1.0,9,3.0,x3,0,(4),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
8,0,3,1.0,6,2.0,x3,0,(2),(2),(B),1,0,1
8,1,3,1.0,6,2.0,x3,0,(3),(2),(B),1,0,0
8,2,3,1.0,6,2.0,x3,0,(2),(2),(B),1,1,1
9,0,3,1.0,9,3.0,x3,0,(3),(2),(B),1,1,1
9,1,3,1.0,9,3.0,x3,0,(3),(2),(B),1,1,0
9,2,3,1.0,9,3.0,x3,0,(2),(2),(B),1,0,1
10,0,9,3.0,3,1.0,x3,0,(3),(4),(B),1,0,0
10,1,9,3.0,3,1.0,x3,0,(2),(4),(B),1,0,0
10,2,9,3.0,3,1.0,x3,0,(2),(4),(B),1,0,0
11,0,6,2.0,9,3.0,x3,0,(1),(4),(A),1,0,1
11,1,6,2.0,9,3.0,x3,0,(3),(4),(B),1,0,0
11,2,6,2.0,9,3.0,x3,0,(2),(4),(B),1,0,1
12,0,3,1.0,6,2.0,x3,0,(2),(2),(B),1,0,1
12,1,3,1.0,6,2.0,x3,0,(3),(2),(B),1,0,1
12,2,3,1.0,6,2.0,x3,0,(1),(2),(B),1,1,1
13,0,3,1.0,9,3.0,x3,0,(3),(2),(B),1,1,0
13,1,3,1.0,9,3.0,x3,0,(3),(2),(B),1,1,0
13,2,3,1.0,9,3.0,x3,0,(3),(2),(B),1,0,0
14,0,6,2.0,9,3.0,x3,0,(2),(4),(B),1,0,0
14,1,6,2.0,9,3.0,x3,0,(2),(4),(B),1,0,0
14,2,6,2.0,9,3.0,x3,0,(1),(4),(A),1,0,1
15,0,6,2.0,9,3.0,x3,0,(1),(4),(A),1,0,0
15,1,6,2.0,9,3.0,x3,0,(3),(4),(B),1,0,0
