Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,+45,+90,-90,-45,+135,0,(3),(1),(A),1,0,0
0,1,+45,+90,-90,-45,+135,0,(3),(1),(A),1,0,0
0,2,+45,+90,-90,-45,+135,0,(2),(2),(B),1,0,1
1,0,-135,-90,+90,+135,180,0,(3),(2),(B),1,0,0
1,1,-135,-90,+90,+135,180,0,(2),(1),(B),1,1,1
1,2,-135,-90,+90,+135,180,0,(1),(2),(B),1,0,0
2,0,+90,+135,+135,180,+135,0,(1),(2),(A),1,1,1
2,1,+90,+135,+135,180,+135,0,(1),(2),(A),1,0,0
2,2,+90,+135,+135,180,+135,0,(1),(2),(A),1,0,0
3,0,+135,180,+135,180,+135,0,(2),(2),(B),1,0,0
3,1,+135,180,+135,180,+135,0,(1),(2),(A),1,0,0
3,2,+135,180,+135,180,+135,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
4,0,+135,180,+135,180,180,0,(1),(2),(B),1,0,0
4,1,+135,180,+135,180,180,0,(1),(1),(A),1,0,0
4,2,+135,180,+135,180,180,0,(2),(2),(B),1,0,0
5,0,-135,-90,+90,+135,+135,0,(1),(2),(B),1,0,0
5,1,-135,-90,+90,+135,+135,0,(2),(2),(B),1,0,0
5,2,-135,-90,+90,+135,+135,0,(2),(2),(B),1,0,0
6,0,+135,180,-45,0,+135,0,(2),(1),(B),1,0,1
6,1,+135,180,-45,0,+135,0,(1),(1),(A),1,0,0
6,2,+135,180,-45,0,+135,0,(3),(1),(B),1,0,1
7,0,-135,-90,+45,+90,+135,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1
7,1,-135,-90,+45,+90,+135,0,(2),(1),(A),1,0,0
7,2,-135,-90,+45,+90,+135,0,(3),(1),(A),1,0,0
8,0,+90,+135,+45,+90,180,0,(3),(1),(B),1,0,1
8,1,+90,+135,+45,+90,180,0,(1),(2),(B),1,0,0
8,2,+90,+135,+45,+90,180,0,(3),(2),(B),1,0,1
9,0,-90,-45,-135,-90,+135,0,(1),(1),(A),1,0,0
9,1,-90,-45,-135,-90,+135,0,(2),(2),(B),1,0,0
9,2,-90,-45,-135,-90,+135,0,(2),(2),(B),1,0,1
10,0,-135,-90,+90,+135,180,0,(2),(1),(B),1,0,0
10,1,-135,-90,+90,+135,180,0,(2),(2),(B),1,0,0
10,2,-135,-90,+90,+135,180,0,(2),(1),(B),1,0,1
11,0,+135,180,+90,+135,+135,0,(2),(1),(B),1,0,0
11,1,+135,180,+90,+135,+135,0,(3),(2),(B),1,0,0
11,2,+135,180,+90,+135,+135,0,(2),(2),(B),1,0,1
12,0,-45,0,+90,+135,+135,0,(2),(1),(A),1,0,1
12,1,-45,0,+90,+135,+135,0,(2),(1),(B),1,0,0
12,2,-45,0,+90,+135,+135,0,(2),(2),(B),1,0,1
13,0,-135,-90,-90,-45,180,0,(3),(2),(B),1,0,0
13,1,-135,-90,-90,-45,180,0,(3),(1),(B),1,0,1
13,2,-135,-90,-90,-45,180,0,(3),(1),(C),1,0,0
14,0,+45,+90,+45,+90,180,0,(2),(1),(A),1,1,0
14,1,+45,+90,+45,+90,180,0,(3),(1),(C),1,1,1
14,2,+45,+90,+45,+90,180,0,(1),(2),(A),1,1,0
15,0,+45,+90,+45,+90,180,0,(2),(1),(B),1,1,0
15,1,+45,+90,+45,+90,180,0,(3),(2),(B),1,0,1
15,2,+45,+90,+45,+90,180,0,(2),(1),(B),1,0,0
16,0,-45,0,-135,-90,+135,0,(1),(1),(A),1,0,1
16,1,-45,0,-135,-90,+135,0,(3),(2),(B),1,0,1
16,2,-45,0,-135,-90,+135,0,(1),(2),(A),1,0,0
17,0,-135,-90,+45,+90,180,0,(3),(1),(B),1,1,1
17,1,-135,-90,+45,+90,180,0,(3),(1),(B),1,0,1
17,2,-135,-90,+45,+90,180,0,(3),(1),(B),1,0,0
18,0,+90,+135,-90,-45,+135,0,(2),(2),(B),1,0,1
18,1,+90,+135,-90,-45,+135,0,(3),(2),(B),1,0,0
18,2,+90,+135,-90,-45,+135,0,(2),(2),(B),1,0,0
19,0,-90,-45,-45,0,+135,0,(1),(2),(B),1,0,0
19,1,-90,-45,-45,0,+135,0,(2),(1),(B),1,0,1
19,2,-90,-45,-45,0,+135,0,(1),(2),(B),1,0,0
20,0,-90,-45,-90,-45,+135,0,(2),(1),(A),1,0,0
20,1,-90,-45,-90,-45,+135,0,(2),(2),(B),1,0,1
20,2,-90,-45,-90,-45,+135,0,(2),(1),(B),1,0,0
21,0,-90,-45,+135,180,180,0,(1),(1),(A),1,0,1
21,1,-90,-45,+135,180,180,0,(2),(1),(A),1,0,0
21,2,-90,-45,+135,180,180,0,(2),(1),(A),1,0,1
22,0,+45,+90,-45,0,+135,0,(2),(1),(B),1,0,0
22,1,+45,+90,-45,0,+135,0,(3),(1),(B),1,0,0
22,2,+45,+90,-45,0,+135,0,(2),(1),(B),1,0,1
23,0,+45,+90,-45,0,+135,0,(3),(1),(A),1,0,0
