Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,0,Red,0,Red,Green,0,(3),(2),(C),1,1,1
0,1,0,Red,0,Red,Green,0,(2),(3),(B),1,0,0
0,2,0,Red,0,Red,Green,0,(2),(4),(B),1,0,0
1,0,0,Red,0,Red,Green,0,(3),(2),(C),1,1,1
1,1,0,Red,0,Red,Green,0,(1),(2),(A),1,1,1
1,2,0,Red,0,Red,Green,0,(1),(2),(A),1,1,0
2,0,0,Red,0,Red,Blue,0,(1),(2),(A),1,1,0
2,1,0,Red,0,Red,Blue,0,(2),(2),(B),1,0,1
2,2,0,Red,0,Red,Blue,0,(1),(2),(B),1,0,0
3,0,0,Red,0,Red,Green,0,(2),(4),(B),1,0,0
3,1,0,Red,0,Red,Green,0,(1),(2),(A),1,1,1
3,2,0,Red,0,Red,Green,0,(1),(2),(A),1,1,0
4,0,0,Red,0,Red,Blue,0,(3),(2),(C),1,1,0
4,1,0,Red,0,Red,Blue,0,(3),(2),(C),1,1,0
4,2,0,Red,0,Red,Blue,0,(2),(4),(B),1,0,1
5,0,0,Red,0,Red,Green,0,(3),(1),(A),1,1,0
5,1,0,Red,0,Red,Green,0,(2),(4),(B),1,0,1
5,2,0,Red,0,Red,Green,0,(3),(4),(C),1,0,0
6,0,0,Red,0,Red,Blue,0,(2),(4),(A),1,0,0
6,1,0,Red,0,Red,Blue,0,(2),(4),(B),1,0,0
6,2,0,Red,0,Red,Blue,0,(1),(2),(A),1,1,0
7,0,0,Red,0,Red,Blue,0,(2),(4),(B),1,0,0
7,1,0,Red,0,Red,Blue,0,(3),(4),(C),1,0,0
7,2,0,Red,0,Red,Blue,0,(2),(4),(B),1,0,1
8,0,0,Red,0,Red,Blue,0,(2),(1),(B),1,1,0
8,1,0,Red,0,Red,Blue,0,(1),(2),(B),1,1,1
8,2,0,Red,0,Red,Blue,0,(3),(2),(B),1,1,0
9,0,0,Red,0,Red,Green,0,(2),(3),(C),1,0,0
9,1,0,Red,0,Red,Green,0,(2),(3),(A),1,0,0
9,2,0,Red,0,Red,Green,0,(3),(1),(A),1,1,0
10,0,0,Red,0,Red,Blue,0,(3),(2),(B),1,0,0
10,1,0,Red,0,Red,Blue,0,(3),(2),(B),1,1,1
10,2,0,Red,0,Red,Blue,0,(3),(2),(C),1,1,1
11,0,0,Red,0,Red,Blue,0,(1),(2),(B),1,0,1
11,1,0,Red,0,Red,Blue,0,(2),(2),(B),1,1,1
11,2,0,Red,0,Red,Blue,0,(3),(2),(C),1,1,0
12,0,0,Red,0,Red,Blue,0,(2),(2),(A),1,1,1
12,1,0,Red,0,Red,Blue,0,(2),(1),(B),1,1,0
12,2,0,Red,0,Red,Blue,0,(3),(1),(B),1,1,0
13,0,0,Red,0,Red,Blue,0,(3),(1),(C),1,1,1
13,1,0,Red,0,Red,Blue,0,(1),(2),(A),1,1,0
13,2,0,Red,0,Red,Blue,0,(1),(2),(B),1,0,0
14,0,0,Red,0,Red,Green,0,(3),(4),(C),1,0,0
14,1,0,Red,0,Red,Green,0,(2),(4),(B),1,0,0
14,2,0,Red,0,Red,Green,0,(2),(4),(B),1,0,0
15,0,0,Red,0,Red,Blue,0,(1),(2),(A),1,0,0
15,1,0,Red,0,Red,Blue,0,(3),(2),(B),1,0,0
15,2,0,Red,0,Red,Blue,0,(3),(2),(B),1,0,1
16,0,0,Red,0,Red,Blue,0,(3),(2),(A),1,1,1
16,1,0,Red,0,Red,Blue,0,(2),(4),(A),1,0,0
16,2,0,Red,0,Red,Blue,0,(2),(4),(B),1,0,1
17,0,0,Red,0,Red,Green,0,(2),(4),(B),1,0,0
17,1,0,Red,0,Red,Green,0,(1),(2),(A),1,1,0
17,2,0,Red,0,Red,Green,0,(3),(2),(B),1,1,1
18,0,0,Red,0,Red,Blue,0,(3),(1),(C),1,1,0
18,1,0,Red,0,Red,Blue,0,(2),(2),(B),1,1,0
18,2,0,Red,0,Red,Blue,0,(2),(1),(B),1,1,1
19,0,0,Red,0,Red,Green,0,(2),(1),(B),1,1,0
19,1,0,Red,0,Red,Green,0,(2),(4),(B),1,0,0
19,2,0,Red,0,Red,Green,0,(2),(1),(B),1,1,1
20,0,0,Red,0,Red,Green,0,(2),(3),(B),1,0,0
20,1,0,Red,0,Red,Green,0,(1),(3),(A),1,0,1
20,2,0,Red,0,Red,Green,0,(2),(3),(B),1,0,1
21,0,0,Red,0,Red,Green,0,(2),(4),(B),1,0,0
