Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,3,2,3,2,1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
0,1,3,2,3,2,1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
0,2,3,2,3,2,1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
1,0,5,4,5,4,1,0,(2),(2),(B),1,1.0,0
1,1,5,4,5,4,1,0,(1),(2),(B),1,1.0,1
1,2,5,4,5,4,1,0,(2),(1),(B),1,1.0,1
2,0,4,3,4,3,1,0,(3),(2),(B),1,1.0,0
2,1,4,3,4,3,1,0,(2),(2),(B),1,0.0,0
2,2,4,3,4,3,1,0,(3),(2),(B),1,1.0,0
3,0,5,4,5,4,1,0,(3),(2),(B),1,0.0,1
3,1,5,4,5,4,1,0,(2),(2),(B),1,0.0,1
3,2,5,4,5,4,1,0,(2),(2),(B),1,0.0,0
4,0,5,4,5,4,1,0,(1),(2),(B),1,0.0,0
4,1,5,4,5,4,1,0,(1),(2),(B),1,0.0,1
4,2,5,4,5,4,1,0,(1),(2),(B),1,0.0,0
5,0,3,2,3,2,1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
5,1,3,2,3,2,1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
5,2,3,2,3,2,1,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
6,0,3,2,3,2,1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
6,1,3,2,3,2,1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
6,2,3,2,3,2,1,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
7,0,4,3,4,3,1,0,(4),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
7,1,4,3,4,3,1,0,(2),(2),(B),1,0.0,0
7,2,4,3,4,3,1,0,(2),(1),(B),1,0.0,1
8,0,4,3,4,3,1,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
8,1,4,3,4,3,1,0,(3),(2),(B),1,1.0,1
8,2,4,3,4,3,1,0,(1),(2),(B),1,0.0,0
9,0,3,2,3,2,1,0,(2),(1),(B),1,0.0,0
9,1,3,2,3,2,1,0,(2),(1),(A),1,0.0,1
9,2,3,2,3,2,1,0,(2),(1),(A),1,0.0,1
10,0,3,2,3,2,1,0,(3),(2),(B),1,1.0,0
10,1,3,2,3,2,1,0,(2),(2),(B),1,1.0,0
10,2,3,2,3,2,1,0,(1),(2),(B),1,1.0,1
11,0,4,3,4,3,1,0,(2),(1),(A),1,0.0,0
11,1,4,3,4,3,1,0,(1),(2),(B),1,1.0,1
11,2,4,3,4,3,1,0,(1),(2),(B),1,1.0,0
12,0,5,4,5,4,1,0,(2),(1),(A),1,0.0,0
12,1,5,4,5,4,1,0,(2),(1),(B),1,0.0,1
12,2,5,4,5,4,1,0,(1),(2),(B),1,1.0,0
13,0,4,3,4,3,1,0,(1),(2),(B),1,0.0,0
13,1,4,3,4,3,1,0,(3),(2),(B),1,1.0,0
13,2,4,3,4,3,1,0,(4),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
14,0,4,3,4,3,1,0,(1),(2),(B),1,1.0,0
14,1,4,3,4,3,1,0,(2),(1),(B),1,1.0,1
14,2,4,3,4,3,1,0,(1),(2),(B),1,1.0,0
15,0,4,3,4,3,1,0,(2),(2),(B),1,1.0,1
15,1,4,3,4,3,1,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
15,2,4,3,4,3,1,0,(1),(2),(A),1,0.0,1
16,0,5,4,5,4,1,0,(2),(1),(A),1,0.0,0
16,1,5,4,5,4,1,0,(3),(2),(B),1,1.0,0
16,2,5,4,5,4,1,0,(1),(2),(B),1,0.0,1
17,0,5,4,5,4,1,0,(3),(1),(B),1,0.0,0
17,1,5,4,5,4,1,0,(3),(2),(B),1,0.0,1
17,2,5,4,5,4,1,0,(2),(1),(B),1,1.0,1
18,0,4,3,4,3,1,0,(1),(2),(B),1,1.0,0
18,1,4,3,4,3,1,0,(2),(1),(B),1,1.0,1
18,2,4,3,4,3,1,0,(1),(2),(B),1,0.0,0
19,0,4,3,4,3,1,0,(3),(2),(B),1,0.0,0
19,1,4,3,4,3,1,0,(2),(2),(B),1,0.0,0
19,2,4,3,4,3,1,0,(1),(2),(B),1,1.0,0
20,0,5,4,5,4,1,0,(1),(2),(B),1,1.0,0
20,1,5,4,5,4,1,0,(3),(2),(B),1,0.0,1
20,2,5,4,5,4,1,0,(1),(2),(B),1,1.0,1
21,0,3,2,3,2,1,0,(2),(2),(B),1,0.0,0
21,1,3,2,3,2,1,0,(2),(1),(B),1,1.0,0
21,2,3,2,3,2,1,0,(1),(2),(B),1,1.0,1
22,0,3,2,3,2,1,0,(2),(2),(B),1,0.0,0
