ParticipantID,Concept,Transformation,Variation,Task,Score,ReactionTime
1,Reflection,ReflectXY,7,Cross Domain,1,4308
1,Reflection,ReflectXY,7,Within Domain,1,21591
1,Reflection,ReflectXY,7,Extrapolation,1,22915
1,Size,Resize0.5X,28,Cross Domain,1,6625
1,Size,Resize0.5X,28,Within Domain,1,1258
1,Size,Resize0.5X,28,Extrapolation,1,2219
1,Rotation,2DRotation180,32,Cross Domain,1,3803
1,Rotation,2DRotation180,32,Within Domain,1,6642
1,Rotation,2DRotation180,32,Extrapolation,1,3390
1,Color,ColourRed,44,Cross Domain,1,1902
1,Color,ColourRed,44,Within Domain,1,1441
1,Color,ColourRed,44,Extrapolation,1,5136
1,Size,Resize2XY,49,Cross Domain,1,2720
1,Size,Resize2XY,49,Within Domain,1,1338
1,Size,Resize2XY,49,Extrapolation,1,3110
1,Rotation,2DRotation+90,40,Cross Domain,1,2749
1,Rotation,2DRotation+90,40,Within Domain,1,5184
1,Rotation,2DRotation+90,40,Extrapolation,1,7457
1,Number,Counting-2,9,Cross Domain,1,2873
1,Number,Counting-2,9,Within Domain,1,2531
1,Number,Counting-2,9,Extrapolation,1,4746
1,Number,Countingd3,0,Cross Domain,1,3467
1,Number,Countingd3,0,Within Domain,1,3219
1,Number,Countingd3,0,Extrapolation,1,6535
1,Reflection,ReflectX,43,Cross Domain,1,2092
1,Reflection,ReflectX,43,Within Domain,1,4351
1,Reflection,ReflectX,43,Extrapolation,1,2563
1,Reflection,ReflectY,23,Cross Domain,1,2125
1,Reflection,ReflectY,23,Within Domain,1,1550
1,Reflection,ReflectY,23,Extrapolation,1,2914
1,Rotation,2DRotation-45,33,Cross Domain,1,2617
1,Rotation,2DRotation-45,33,Within Domain,1,2562
1,Rotation,2DRotation-45,33,Extrapolation,1,4411
1,Size,Resize0.5Y,39,Cross Domain,1,2276
1,Size,Resize0.5Y,39,Within Domain,1,9133
1,Size,Resize0.5Y,39,Extrapolation,1,2568
1,Color,ColourBlue,37,Cross Domain,1,2537
1,Color,ColourBlue,37,Within Domain,1,1554
1,Color,ColourBlue,37,Extrapolation,1,1956
1,Color,ColourGrey,41,Cross Domain,1,2541
1,Color,ColourGrey,41,Within Domain,1,1187
1,Color,ColourGrey,41,Extrapolation,1,2032
1,Rotation,2DRotation-135,17,Cross Domain,1,2642
1,Rotation,2DRotation-135,17,Within Domain,1,7433
1,Rotation,2DRotation-135,17,Extrapolation,1,7409
1,Color,ColourGreen,8,Cross Domain,1,1541
1,Color,ColourGreen,8,Within Domain,1,985
1,Color,ColourGreen,8,Extrapolation,1,1691
1,Color,ColourYellow,49,Cross Domain,1,1965
1,Color,ColourYellow,49,Within Domain,1,1274
1,Color,ColourYellow,49,Extrapolation,1,1377
1,Number,Counting-1,16,Cross Domain,1,3110
1,Number,Counting-1,16,Within Domain,1,1423
1,Number,Counting-1,16,Extrapolation,1,2322
1,Number,Countingx2,26,Cross Domain,1,1652
1,Number,Countingx2,26,Within Domain,1,3184
1,Number,Countingx2,26,Extrapolation,1,2529
12,Number,Countingx2,2,Cross Domain,1,8004
12,Number,Countingx2,2,Within Domain,1,4486
12,Number,Countingx2,2,Extrapolation,1,5163
12,Rotation,2DRotation180,10,Cross Domain,1,4447
12,Rotation,2DRotation180,10,Within Domain,1,13373
12,Rotation,2DRotation180,10,Extrapolation,1,6838
12,Color,ColourGreen,25,Cross Domain,1,2770
12,Color,ColourGreen,25,Within Domain,1,2101
12,Color,ColourGreen,25,Extrapolation,1,5130
12,Color,ColourYellow,0,Cross Domain,1,3061
12,Color,ColourYellow,0,Within Domain,1,2184
12,Color,ColourYellow,0,Extrapolation,1,2930
12,Color,ColourBlue,10,Cross Domain,1,4307
12,Color,ColourBlue,10,Within Domain,1,1616
12,Color,ColourBlue,10,Extrapolation,1,3302
12,Rotation,2DRotation+90,1,Cross Domain,1,3928
12,Rotation,2DRotation+90,1,Within Domain,1,1871
12,Rotation,2DRotation+90,1,Extrapolation,1,2514
