ParticipantID,ParticipantAge,Concept,Transformation,Variation,Task,Score,ReactionTime
1,5,Color,ColourRed,47,cross,1,15455
1,5,Color,ColourRed,47,within,1,6937
1,5,Color,ColourRed,47,extra,1,7081
1,5,Size,Resize0.5XY,23,cross,1,12842
1,5,Size,Resize0.5XY,23,within,1,8264
1,5,Size,Resize0.5XY,23,extra,1,11629
1,5,Size,Resize2XY,16,cross,1,12465
1,5,Size,Resize2XY,16,within,1,5463
1,5,Size,Resize2XY,16,extra,1,5111
1,5,Color,ColourGreen,28,cross,1,5562
1,5,Color,ColourGreen,28,within,1,4376
1,5,Color,ColourGreen,28,extra,1,5327
1,5,Reflection,ReflectY,19,cross,1,11685
1,5,Reflection,ReflectY,19,within,1,8048
1,5,Reflection,ReflectY,19,extra,1,4060
1,5,Number,Counting-1,8,cross,1,8327
1,5,Number,Counting-1,8,within,0,36548
1,5,Number,Counting-1,8,extra,1,9228
1,5,Reflection,ReflectX,1,cross,1,11723
1,5,Reflection,ReflectX,1,within,1,6738
1,5,Reflection,ReflectX,1,extra,1,7974
1,5,Rotation,2DRotation-90,18,cross,1,7053
1,5,Rotation,2DRotation-90,18,within,1,15033
1,5,Rotation,2DRotation-90,18,extra,1,10983
1,5,Rotation,2DRotation180,31,cross,1,12985
1,5,Rotation,2DRotation180,31,within,1,5847
1,5,Rotation,2DRotation180,31,extra,1,5587
1,5,Number,Counting+2,4,cross,1,6680
1,5,Number,Counting+2,4,within,0,18505
1,5,Number,Counting+2,4,extra,1,5444
2,5,Rotation,2DRotation+90,29,cross,1,18152
2,5,Rotation,2DRotation+90,29,within,0,5481
2,5,Rotation,2DRotation+90,29,extra,0,11260
2,5,Number,Counting-2,17,cross,1,12751
2,5,Number,Counting-2,17,within,1,6378
2,5,Number,Counting-2,17,extra,1,5854
2,5,Color,ColourRed,38,cross,1,11652
2,5,Color,ColourRed,38,within,1,9172
2,5,Color,ColourRed,38,extra,1,7449
2,5,Size,Resize0.5XY,23,cross,1,17358
2,5,Size,Resize0.5XY,23,within,1,1169
2,5,Size,Resize0.5XY,23,extra,1,5184
2,5,Color,ColourBlue,48,cross,1,9048
2,5,Color,ColourBlue,48,within,1,5513
2,5,Color,ColourBlue,48,extra,1,4393
2,5,Size,Resize2XY,12,cross,1,10048
2,5,Size,Resize2XY,12,within,0,657
2,5,Size,Resize2XY,12,extra,1,7048
2,5,Reflection,ReflectX,44,cross,1,13898
2,5,Reflection,ReflectX,44,within,1,1074
2,5,Reflection,ReflectX,44,extra,1,11132
2,5,Rotation,2DRotation180,21,cross,1,12345
2,5,Rotation,2DRotation180,21,within,1,2362
2,5,Rotation,2DRotation180,21,extra,1,6400
2,5,Reflection,ReflectY,27,cross,1,9895
2,5,Reflection,ReflectY,27,within,1,6642
2,5,Reflection,ReflectY,27,extra,1,4381
2,5,Number,Counting-1,24,cross,1,7105
2,5,Number,Counting-1,24,within,1,7508
2,5,Number,Counting-1,24,extra,1,6868
3,4,Number,Counting-2,40,cross,1,33019
3,4,Number,Counting-2,40,within,1,13993
3,4,Number,Counting-2,40,extra,1,20995
3,4,Rotation,2DRotation+90,30,cross,1,36419
3,4,Rotation,2DRotation+90,30,within,1,8637
3,4,Rotation,2DRotation+90,30,extra,1,22203
3,4,Reflection,ReflectY,26,cross,1,60395
3,4,Reflection,ReflectY,26,within,1,11018
3,4,Reflection,ReflectY,26,extra,0,14085
3,4,Size,Resize2XY,32,cross,1,24507
3,4,Size,Resize2XY,32,within,0,16718
3,4,Size,Resize2XY,32,extra,1,8176
3,4,Color,ColourGreen,6,cross,1,11118
3,4,Color,ColourGreen,6,within,1,6041
3,4,Color,ColourGreen,6,extra,1,11984
3,4,Number,Counting+1,24,cross,0,34390
3,4,Number,Counting+1,24,extra,1,14303
3,4,Color,ColourRed,47,cross,1,31015
3,4,Color,ColourRed,47,within,0,9907
3,4,Color,ColourRed,47,extra,1,16411
3,4,Reflection,ReflectX,13,cross,1,9182
3,4,Reflection,ReflectX,13,within,1,887
3,4,Reflection,ReflectX,13,extra,1,15737
3,4,Rotation,2DRotation180,21,cross,1,9939
3,4,Rotation,2DRotation180,21,within,1,788
3,4,Rotation,2DRotation180,21,extra,1,11839
3,4,Size,Resize0.5XY,27,cross,1,9404
3,4,Size,Resize0.5XY,27,within,1,704
3,4,Size,Resize0.5XY,27,extra,1,10238
4,4,Color,ColourBlue,42,cross,1,16712
4,4,Color,ColourBlue,42,within,0,13080
4,4,Color,ColourBlue,42,extra,0,13664
4,4,Number,Counting-2,47,cross,1,15931
4,4,Number,Counting-2,47,within,1,12398
4,4,Number,Counting-2,47,extra,1,14314
4,4,Reflection,ReflectX,27,cross,0,50464
