Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,Red,Blue,Yellow,Blue,Green,0,(2),(1),(B),1,1,0
0,1,Red,Blue,Yellow,Blue,Green,0,(1),(2),(A),1,1,1
0,2,Red,Blue,Yellow,Blue,Green,0,(1),(1),(A),1,1,0
1,0,Red,Blue,Yellow,Blue,Grey,0,(1),(2),(A),1,1,0
1,1,Red,Blue,Yellow,Blue,Grey,0,(1),(2),(A),1,1,0
1,2,Red,Blue,Yellow,Blue,Grey,0,(1),(2),(A),1,1,0
2,0,Red,Blue,Green,Blue,Yellow,0,(1),(4),(A),1,0,0
2,1,Red,Blue,Green,Blue,Yellow,0,(2),(4),(B),1,0,0
2,2,Red,Blue,Green,Blue,Yellow,0,(3),(4),(C),1,0,0
3,0,Grey,Blue,Red,Blue,Yellow,0,(3),(1),(C),1,1,0
3,1,Grey,Blue,Red,Blue,Yellow,0,(2),(1),(B),1,1,0
3,2,Grey,Blue,Red,Blue,Yellow,0,(3),(1),(C),1,1,0
4,0,Green,Blue,Grey,Blue,Yellow,0,(1),(2),(A),1,1,0
4,1,Green,Blue,Grey,Blue,Yellow,0,(3),(2),(C),1,1,0
4,2,Green,Blue,Grey,Blue,Yellow,0,(3),(4),(C),1,0,0
5,0,Red,Blue,Yellow,Blue,Grey,0,(2),(4),(A),1,0,0
5,1,Red,Blue,Yellow,Blue,Grey,0,(2),(2),(B),1,1,0
5,2,Red,Blue,Yellow,Blue,Grey,0,(2),(1),(B),1,1,1
6,0,Yellow,Blue,Grey,Blue,Green,0,(1),(2),(B),1,1,1
6,1,Yellow,Blue,Grey,Blue,Green,0,(1),(2),(B),1,1,0
6,2,Yellow,Blue,Grey,Blue,Green,0,(2),(4),(B),1,0,0
7,0,Green,Blue,Yellow,Blue,Grey,0,(3),(4),(C),1,0,0
7,1,Green,Blue,Yellow,Blue,Grey,0,(3),(4),(C),1,0,0
7,2,Green,Blue,Yellow,Blue,Grey,0,(1),(2),(B),1,0,0
8,0,Grey,Blue,Yellow,Blue,Green,0,(1),(2),(B),1,1,1
8,1,Grey,Blue,Yellow,Blue,Green,0,(3),(1),(C),1,1,0
8,2,Grey,Blue,Yellow,Blue,Green,0,(3),(1),(C),1,1,0
9,0,Red,Blue,Green,Blue,Yellow,0,(2),(4),(B),1,0,1
9,1,Red,Blue,Green,Blue,Yellow,0,(3),(2),(C),1,1,1
9,2,Red,Blue,Green,Blue,Yellow,0,(3),(2),(C),1,1,0
10,0,Green,Blue,Grey,Blue,Red,0,(1),(2),(A),1,1,0
10,1,Green,Blue,Grey,Blue,Red,0,(1),(2),(A),1,1,0
10,2,Green,Blue,Grey,Blue,Red,0,(1),(2),(A),1,0,0
11,0,Green,Blue,Grey,Blue,Yellow,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0
11,1,Green,Blue,Grey,Blue,Yellow,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
11,2,Green,Blue,Grey,Blue,Yellow,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
12,0,Grey,Blue,Red,Blue,Green,0,(2),(1),(B),1,1,0
12,1,Grey,Blue,Red,Blue,Green,0,(2),(2),(B),1,1,0
12,2,Grey,Blue,Red,Blue,Green,0,(1),(2),(B),1,1,1
13,0,Green,Blue,Red,Blue,Yellow,0,(3),(2),(B),1,0,0
13,1,Green,Blue,Red,Blue,Yellow,0,(2),(4),(B),1,0,0
13,2,Green,Blue,Red,Blue,Yellow,0,(3),(2),(B),1,0,1
14,0,Red,Blue,Grey,Blue,Yellow,0,(3),(2),(C),1,1,0
14,1,Red,Blue,Grey,Blue,Yellow,0,(2),(1),(B),1,1,1
14,2,Red,Blue,Grey,Blue,Yellow,0,(3),(1),(C),1,1,1
15,0,Green,Blue,Grey,Blue,Yellow,0,(1),(4),(A),1,0,0
15,1,Green,Blue,Grey,Blue,Yellow,0,(2),(4),(A),1,0,1
15,2,Green,Blue,Grey,Blue,Yellow,0,(3),(1),(A),1,1,0
16,0,Green,Blue,Grey,Blue,Yellow,0,(3),(1),(C),1,1,1
16,1,Green,Blue,Grey,Blue,Yellow,0,(2),(1),(B),1,1,0
16,2,Green,Blue,Grey,Blue,Yellow,0,(1),(2),(A),1,1,0
17,0,Red,Blue,Grey,Blue,Yellow,0,(3),(4),(A),1,0,0
17,1,Red,Blue,Grey,Blue,Yellow,0,(3),(2),(A),1,1,1
17,2,Red,Blue,Grey,Blue,Yellow,0,(3),(2),(A),1,1,1
