Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,Red,Yellow,Grey,Yellow,Green,0,(3),(1),(C),1,1,0
0,1,Red,Yellow,Grey,Yellow,Green,0,(1),(4),(A),1,0,0
0,2,Red,Yellow,Grey,Yellow,Green,0,(3),(4),(C),1,0,1
1,0,Red,Yellow,Blue,Yellow,Green,0,(1),(2),(A),1,1,0
1,1,Red,Yellow,Blue,Yellow,Green,0,(2),(4),(B),1,0,0
1,2,Red,Yellow,Blue,Yellow,Green,0,(2),(4),(B),1,0,1
2,0,Green,Yellow,Red,Yellow,Grey,0,(1),(2),(A),1,1,0
2,1,Green,Yellow,Red,Yellow,Grey,0,(2),(2),(B),1,1,1
2,2,Green,Yellow,Red,Yellow,Grey,0,(1),(2),(A),1,1,0
3,0,Red,Yellow,Green,Yellow,Blue,0,(2),(4),(B),1,0,0
3,1,Red,Yellow,Green,Yellow,Blue,0,(3),(4),(C),1,0,0
3,2,Red,Yellow,Green,Yellow,Blue,0,(2),(1),(B),1,1,1
4,0,Blue,Yellow,Red,Yellow,Grey,0,(2),(4),(B),1,0,0
4,1,Blue,Yellow,Red,Yellow,Grey,0,(1),(4),(A),1,0,1
4,2,Blue,Yellow,Red,Yellow,Grey,0,(3),(4),(C),1,0,1
5,0,Grey,Yellow,Blue,Yellow,Green,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
5,1,Grey,Yellow,Blue,Yellow,Green,0,(3),(1),(C),1,1,1
5,2,Grey,Yellow,Blue,Yellow,Green,0,(1),(2),(B),1,1,0
6,0,Blue,Yellow,Grey,Yellow,Green,0,(2),(1),(B),1,1,1
6,1,Blue,Yellow,Grey,Yellow,Green,0,(1),(4),(A),1,0,1
6,2,Blue,Yellow,Grey,Yellow,Green,0,(1),(4),(A),1,0,1
7,0,Green,Yellow,Red,Yellow,Blue,0,(3),(1),(C),1,1,1
7,1,Green,Yellow,Red,Yellow,Blue,0,(1),(2),(B),1,1,1
7,2,Green,Yellow,Red,Yellow,Blue,0,(2),(1),(B),1,1,0
8,0,Green,Yellow,Red,Yellow,Blue,0,(2),(1),(B),1,1,0
8,1,Green,Yellow,Red,Yellow,Blue,0,(2),(2),(B),1,1,0
8,2,Green,Yellow,Red,Yellow,Blue,0,(2),(2),(B),1,1,0
9,0,Green,Yellow,Grey,Yellow,Blue,0,A,B,(A),Null,Null,0
9,1,Green,Yellow,Grey,Yellow,Blue,0,(2),(2),(B),1,1,1
9,2,Green,Yellow,Grey,Yellow,Blue,0,(3),(2),(C),1,0,0
10,0,Red,Yellow,Green,Yellow,Grey,0,(2),(4),(B),1,0,1
10,1,Red,Yellow,Green,Yellow,Grey,0,(2),(1),(B),1,1,0
10,2,Red,Yellow,Green,Yellow,Grey,0,(2),(1),(B),1,1,1
11,0,Red,Yellow,Blue,Yellow,Grey,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
11,1,Red,Yellow,Blue,Yellow,Grey,0,(2),(4),(B),1,0,0
11,2,Red,Yellow,Blue,Yellow,Grey,0,(2),(3),(B),1,0,0
12,0,Red,Yellow,Grey,Yellow,Green,0,(1),(1),(A),1,1,1
12,1,Red,Yellow,Grey,Yellow,Green,0,(1),(2),(B),1,1,0
12,2,Red,Yellow,Grey,Yellow,Green,0,(2),(1),(B),1,1,1
13,0,Green,Yellow,Grey,Yellow,Blue,0,(1),(2),(A),1,1,0
13,1,Green,Yellow,Grey,Yellow,Blue,0,(3),(1),(C),1,1,1
13,2,Green,Yellow,Grey,Yellow,Blue,0,(3),(2),(C),1,1,0
14,0,Green,Yellow,Blue,Yellow,Grey,0,(1),(2),(B),1,0,0
14,1,Green,Yellow,Blue,Yellow,Grey,0,(3),(2),(B),1,0,0
14,2,Green,Yellow,Blue,Yellow,Grey,0,(1),(2),(A),1,1,0
15,0,Red,Yellow,Blue,Yellow,Grey,0,(1),(2),(A),1,1,1
15,1,Red,Yellow,Blue,Yellow,Grey,0,(2),(1),(B),1,1,0
15,2,Red,Yellow,Blue,Yellow,Grey,0,(3),(1),(A),1,1,0
16,0,Blue,Yellow,Green,Yellow,Grey,0,(3),(4),(C),1,0,0
16,1,Blue,Yellow,Green,Yellow,Grey,0,(1),(4),(A),1,0,0
16,2,Blue,Yellow,Green,Yellow,Grey,0,(2),(4),(B),1,0,0
17,0,Grey,Yellow,Blue,Yellow,Red,0,(1),(2),(A),1,1,0
17,1,Grey,Yellow,Blue,Yellow,Red,0,(1),(2),(A),1,1,0
17,2,Grey,Yellow,Blue,Yellow,Red,0,(1),(2),(A),1,1,1
18,0,Blue,Yellow,Grey,Yellow,Green,0,(2),(2),(B),1,0,1
18,1,Blue,Yellow,Grey,Yellow,Green,0,(3),(2),(B),1,0,0
18,2,Blue,Yellow,Grey,Yellow,Green,0,(3),(2),(B),1,1,1
19,0,Blue,Yellow,Grey,Yellow,Green,0,(2),(4),(B),1,0,0
19,1,Blue,Yellow,Grey,Yellow,Green,0,(2),(4),(B),1,0,0
19,2,Blue,Yellow,Grey,Yellow,Green,0,(1),(2),(B),1,1,0
20,0,Green,Yellow,Red,Yellow,Blue,0,(3),(2),(A),1,1,0
20,1,Green,Yellow,Red,Yellow,Blue,0,(1),(2),(A),1,1,0
20,2,Green,Yellow,Red,Yellow,Blue,0,(1),(2),(A),1,1,1
21,0,Red,Yellow,Blue,Yellow,Green,0,(2),(1),(B),1,1,0
21,1,Red,Yellow,Blue,Yellow,Green,0,(1),(2),(B),1,1,0
21,2,Red,Yellow,Blue,Yellow,Green,0,(3),(1),(C),1,1,1
22,0,Grey,Yellow,Green,Yellow,Blue,0,(1),(2),(B),1,0,0
22,1,Grey,Yellow,Green,Yellow,Blue,0,(1),(2),(A),1,1,0
22,2,Grey,Yellow,Green,Yellow,Blue,0,(2),(1),(B),1,1,0
23,0,Blue,Yellow,Green,Yellow,Red,0,(2),(4),(B),1,0,1
23,1,Blue,Yellow,Green,Yellow,Red,0,(2),(4),(B),1,0,0
23,2,Blue,Yellow,Green,Yellow,Red,0,(2),(4),(B),1,0,1
24,0,Grey,Yellow,Blue,Yellow,Red,0,(2),(1),(B),1,1,0
24,1,Grey,Yellow,Blue,Yellow,Red,0,(2),(2),(B),1,1,1
24,2,Grey,Yellow,Blue,Yellow,Red,0,(3),(2),(C),1,1,1
25,0,Green,Yellow,Grey,Yellow,Blue,0,(3),(2),(B),1,1,0
25,1,Green,Yellow,Grey,Yellow,Blue,0,(1),(1),(A),1,1,0
25,2,Green,Yellow,Grey,Yellow,Blue,0,(2),(1),(B),1,1,0
26,0,Red,Yellow,Green,Yellow,Grey,0,(3),(4),(C),1,0,0
26,1,Red,Yellow,Green,Yellow,Grey,0,(3),(4),(C),1,0,0
26,2,Red,Yellow,Green,Yellow,Grey,0,(3),(2),(C),1,1,0
27,0,Grey,Yellow,Blue,Yellow,Red,0,(1),(2),(B),1,1,1
27,1,Grey,Yellow,Blue,Yellow,Red,0,(2),(2),(B),1,1,1
27,2,Grey,Yellow,Blue,Yellow,Red,0,(1),(2),(A),1,1,1
28,0,Green,Yellow,Blue,Yellow,Red,0,(1),(2),(B),1,1,0
28,1,Green,Yellow,Blue,Yellow,Red,0,(1),(2),(B),1,1,0
28,2,Green,Yellow,Blue,Yellow,Red,0,(2),(2),(B),1,1,0
29,0,Blue,Yellow,Grey,Yellow,Green,0,(1),(2),(A),1,1,0
29,1,Blue,Yellow,Grey,Yellow,Green,0,(2),(4),(B),1,0,0
29,2,Blue,Yellow,Grey,Yellow,Green,0,(2),(4),(B),1,0,0
30,0,Green,Yellow,Blue,Yellow,Red,0,(1),(2),(B),1,0,1
30,1,Green,Yellow,Blue,Yellow,Red,0,(1),(2),(B),1,0,0
30,2,Green,Yellow,Blue,Yellow,Red,0,(1),(2),(A),1,1,1
31,0,Red,Yellow,Blue,Yellow,Grey,0,(2),(4),(B),1,0,0
