Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,3,5,4,6,-2,0,(1),(2),(B),1,1,0
0,1,3,5,4,6,-2,0,(3),(2),(B),1,0,0
0,2,3,5,4,6,-2,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
1,0,2,4,4,6,-2,0,(2),(2),(B),1,0,0
1,1,2,4,4,6,-2,0,(1),(2),(B),1,1,0
1,2,2,4,4,6,-2,0,(1),(2),(B),1,1,0
2,0,2,4,4,6,-2,0,(1),(2),(B),1,0,1
2,1,2,4,4,6,-2,0,(2),(2),(B),1,1,1
2,2,2,4,4,6,-2,0,(1),(2),(B),1,0,0
3,0,4,6,2,4,-2,0,(2),(1),(B),1,0,1
3,1,4,6,2,4,-2,0,(1),(2),(B),1,1,0
3,2,4,6,2,4,-2,0,(3),(2),(B),1,0,0
4,0,4,6,2,4,-2,0,(1),(2),(B),1,1,0
4,1,4,6,2,4,-2,0,(1),(2),(B),1,0,0
4,2,4,6,2,4,-2,0,(2),(2),(B),1,0,0
5,0,2,4,4,6,-2,0,(5),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
5,1,2,4,4,6,-2,0,(5),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
5,2,2,4,4,6,-2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
6,0,3,5,4,6,-2,0,(2),(1),(B),1,0,0
6,1,3,5,4,6,-2,0,(1),(2),(B),1,0,0
6,2,3,5,4,6,-2,0,(1),(2),(B),1,0,0
7,0,4,6,3,5,-2,0,(3),(2),(B),1,0,0
7,1,4,6,3,5,-2,0,(2),(2),(B),1,1,0
7,2,4,6,3,5,-2,0,(1),(2),(B),1,1,1
8,0,2,4,3,5,-2,0,(3),(2),(B),1,1,0
8,1,2,4,3,5,-2,0,(3),(2),(B),1,0,1
8,2,2,4,3,5,-2,0,(2),(2),(B),1,0,1
9,0,3,5,2,4,-2,0,(1),(2),(B),1,0,0
9,1,3,5,2,4,-2,0,(2),(2),(B),1,1,0
9,2,3,5,2,4,-2,0,(2),(2),(B),1,0,0
10,0,4,6,2,4,-2,0,(1),(2),(B),1,0,0
10,1,4,6,2,4,-2,0,(1),(2),(B),1,1,0
10,2,4,6,2,4,-2,0,(1),(2),(B),1,1,0
11,0,3,5,4,6,-2,0,(2),(2),(B),1,0,0
11,1,3,5,4,6,-2,0,(1),(2),(B),1,1,0
11,2,3,5,4,6,-2,0,(1),(2),(B),1,1,0
12,0,3,5,2,4,-2,0,(1),(2),(B),1,1,1
12,1,3,5,2,4,-2,0,(3),(2),(A),1,1,1
12,2,3,5,2,4,-2,0,(3),(2),(B),1,1,0
13,0,2,4,3,5,-2,0,(1),(2),(B),1,1,1
13,1,2,4,3,5,-2,0,(2),(2),(B),1,1,0
13,2,2,4,3,5,-2,0,(5),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
14,0,2,4,4,6,-2,0,(3),(2),(B),1,1,0
14,1,2,4,4,6,-2,0,(3),(2),(B),1,1,0
14,2,2,4,4,6,-2,0,(1),(2),(B),1,1,1
15,0,3,5,2,4,-2,0,(1),(2),(B),1,0,0
15,1,3,5,2,4,-2,0,(1),(2),(A),1,1,1
15,2,3,5,2,4,-2,0,(3),(2),(B),1,0,1
16,0,4,6,3,5,-2,0,(2),(1),(B),1,0,0
16,1,4,6,3,5,-2,0,(2),(2),(B),1,0,0
16,2,4,6,3,5,-2,0,(3),(2),(B),1,1,0
17,0,4,6,2,4,-2,0,(1),(2),(B),1,1,1
17,1,4,6,2,4,-2,0,(1),(2),(B),1,1,1
17,2,4,6,2,4,-2,0,(1),(2),(B),1,0,0
18,0,4,6,2,4,-2,0,(1),(2),(B),1,1,1
18,1,4,6,2,4,-2,0,(1),(2),(B),1,0,0
18,2,4,6,2,4,-2,0,(2),(1),(B),1,0,1
19,0,3,5,2,4,-2,0,(1),(2),(B),1,1,1
19,1,3,5,2,4,-2,0,(1),(2),(B),1,1,0
19,2,3,5,2,4,-2,0,(3),(2),(B),1,0,0
20,0,3,5,2,4,-2,0,(2),(1),(B),1,0,1
20,1,3,5,2,4,-2,0,(3),(2),(B),1,1,1
20,2,3,5,2,4,-2,0,(2),(1),(B),1,0,0
21,0,3,5,4,6,-2,0,(1),(2),(B),1,1,1
21,1,3,5,4,6,-2,0,(3),(2),(B),1,1,0
21,2,3,5,4,6,-2,0,(3),(2),(B),1,1,0
22,0,3,5,2,4,-2,0,(1),(2),(B),1,0,0
22,1,3,5,2,4,-2,0,(2),(2),(B),1,0,0
22,2,3,5,2,4,-2,0,(2),(2),(B),1,1,0
23,0,3,5,4,6,-2,0,(1),(2),(B),1,0,0
23,1,3,5,4,6,-2,0,(3),(2),(B),1,1,0
23,2,3,5,4,6,-2,0,(3),(2),(B),1,1,0
24,0,4,6,3,5,-2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
24,1,4,6,3,5,-2,0,(3),(2),(B),1,1,0
24,2,4,6,3,5,-2,0,(3),(2),(B),1,1,1
25,0,3,5,2,4,-2,0,(1),(2),(B),1,0,1
25,1,3,5,2,4,-2,0,(3),(2),(B),1,0,1
25,2,3,5,2,4,-2,0,(3),(2),(B),1,0,1
26,0,2,4,3,5,-2,0,(2),(2),(A),1,1,1
26,1,2,4,3,5,-2,0,(3),(2),(B),1,0,0
26,2,2,4,3,5,-2,0,(3),(2),(B),1,1,1
27,0,4,6,3,5,-2,0,(2),(2),(B),1,0,0
27,1,4,6,3,5,-2,0,(2),(1),(B),1,0,1
27,2,4,6,3,5,-2,0,(2),(2),(B),1,0,0
28,0,2,4,4,6,-2,0,(2),(2),(B),1,0,1
28,1,2,4,4,6,-2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
28,2,2,4,4,6,-2,0,(2),(2),(B),1,1,1
29,0,3,5,4,6,-2,0,(1),(2),(B),1,0,0
29,1,3,5,4,6,-2,0,(1),(2),(A),1,1,0
29,2,3,5,4,6,-2,0,(3),(2),(B),1,1,1
30,0,2,4,3,5,-2,0,(1),(2),(B),1,1,1
30,1,2,4,3,5,-2,0,(1),(2),(B),1,0,0
30,2,2,4,3,5,-2,0,(2),(2),(B),1,0,1
31,0,3,5,2,4,-2,0,(1),(2),(B),1,1,1
31,1,3,5,2,4,-2,0,(3),(2),(B),1,1,1
31,2,3,5,2,4,-2,0,(1),(2),(B),1,0,0
32,0,2,4,3,5,-2,0,(3),(2),(B),1,1,0
32,1,2,4,3,5,-2,0,(3),(2),(B),1,1,0
32,2,2,4,3,5,-2,0,(2),(2),(B),1,0,0
33,0,3,5,4,6,-2,0,(2),(2),(B),1,0,0
33,1,3,5,4,6,-2,0,(2),(1),(B),1,0,1
33,2,3,5,4,6,-2,0,(3),(2),(B),1,1,0
34,0,4,6,3,5,-2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
34,1,4,6,3,5,-2,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
34,2,4,6,3,5,-2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
35,0,3,5,4,6,-2,0,(2),(2),(B),1,1,1
35,1,3,5,4,6,-2,0,(2),(2),(B),1,0,1
35,2,3,5,4,6,-2,0,(2),(2),(B),1,0,0
36,0,4,6,3,5,-2,0,(2),(2),(B),1,0,0
36,1,4,6,3,5,-2,0,(1),(2),(B),1,0,0
36,2,4,6,3,5,-2,0,(1),(2),(B),1,1,1
37,0,3,5,2,4,-2,0,(1),(2),(B),1,0,1
37,1,3,5,2,4,-2,0,(3),(2),(B),1,0,0
37,2,3,5,2,4,-2,0,(2),(2),(B),1,0,1
38,0,4,6,2,4,-2,0,(1),(2),(B),1,1,1
38,1,4,6,2,4,-2,0,(1),(2),(B),1,1,0
38,2,4,6,2,4,-2,0,(2),(2),(B),1,0,0
39,0,4,6,3,5,-2,0,(3),(2),(B),1,0,0
39,1,4,6,3,5,-2,0,(2),(1),(B),1,0,1
39,2,4,6,3,5,-2,0,(2),(1),(B),1,0,1
40,0,4,6,2,4,-2,0,(2),(2),(B),1,0,0
40,1,4,6,2,4,-2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
40,2,4,6,2,4,-2,0,(3),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
41,0,3,5,4,6,-2,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
41,1,3,5,4,6,-2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
41,2,3,5,4,6,-2,0,(2),(2),(B),1,1,1
42,0,2,4,3,5,-2,0,(1),(2),(B),1,1,0
42,1,2,4,3,5,-2,0,(4),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
42,2,2,4,3,5,-2,0,(4),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
43,0,4,6,3,5,-2,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
43,1,4,6,3,5,-2,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
43,2,4,6,3,5,-2,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
44,0,4,6,2,4,-2,0,(3),(2),(B),1,1,0
44,1,4,6,2,4,-2,0,(1),(2),(B),1,0,0
44,2,4,6,2,4,-2,0,(2),(2),(B),1,0,1
45,0,4,6,3,5,-2,0,(3),(2),(B),1,1,0
45,1,4,6,3,5,-2,0,(3),(2),(B),1,1,1
45,2,4,6,3,5,-2,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
46,0,4,6,3,5,-2,0,(3),(2),(B),1,0,0
46,1,4,6,3,5,-2,0,(3),(2),(B),1,1,0
46,2,4,6,3,5,-2,0,(3),(2),(B),1,0,1
47,0,3,5,2,4,-2,0,(2),(2),(B),1,0,0
47,1,3,5,2,4,-2,0,(1),(2),(B),1,0,1
47,2,3,5,2,4,-2,0,(3),(2),(B),1,0,0
48,0,3,5,4,6,-2,0,(3),(2),(B),1,0,1
48,1,3,5,4,6,-2,0,(1),(2),(B),1,0,0
48,2,3,5,4,6,-2,0,(3),(2),(B),1,0,0
49,0,2,4,3,5,-2,0,(2),(2),(B),1,1,1
49,1,2,4,3,5,-2,0,(2),(2),(B),1,0,0
49,2,2,4,3,5,-2,0,(2),(2),(B),1,1,0
