Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,-45,+90,-90,+45,180,0,(3),(1),(A),1,0,1
0,1,-45,+90,-90,+45,180,0,(3),(1),(A),1,0,1
0,2,-45,+90,-90,+45,180,0,(3),(1),(A),1,1,0
1,0,+45,180,-135,0,+45,0,(2),(2),(B),1,1,1
1,1,+45,180,-135,0,+45,0,(2),(1),(B),1,1,1
1,2,+45,180,-135,0,+45,0,(1),(2),(A),1,1,0
2,0,+45,180,-135,0,180,0,(2),(1),(B),1,1,1
2,1,+45,180,-135,0,180,0,(2),(1),(B),1,0,1
2,2,+45,180,-135,0,180,0,(2),(1),(B),1,1,1
3,0,-45,+90,-90,+45,+45,0,(2),(2),(B),1,1,0
3,1,-45,+90,-90,+45,+45,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
3,2,-45,+90,-90,+45,+45,0,(2),(2),(B),1,1,0
4,0,+90,+225,+45,180,180,0,(1),(1),(A),1,0,0
4,1,+90,+225,+45,180,180,0,(1),(1),(A),1,0,0
4,2,+90,+225,+45,180,180,0,(3),(1),(B),1,0,0
5,0,-135,0,-135,0,+45,0,(2),(2),(B),1,1,0
5,1,-135,0,-135,0,+45,0,(3),(2),(B),1,1,0
5,2,-135,0,-135,0,+45,0,(2),(2),(B),1,1,0
6,0,-45,+90,+90,+225,180,0,(2),(1),(A),1,1,0
6,1,-45,+90,+90,+225,180,0,(1),(1),(A),1,1,0
6,2,-45,+90,+90,+225,180,0,(3),(1),(A),1,0,1
7,0,+90,+225,-45,+90,+45,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1
7,1,+90,+225,-45,+90,+45,0,(2),(1),(A),1,1,0
7,2,+90,+225,-45,+90,+45,0,(2),(1),(A),1,1,0
8,0,-45,+90,+45,180,+45,0,(1),(2),(A),1,1,0
8,1,-45,+90,+45,180,+45,0,(2),(2),(B),1,1,0
8,2,-45,+90,+45,180,+45,0,(1),(2),(A),1,1,0
9,0,+135,+270,+135,+270,180,0,(3),(1),(A),1,0,1
9,1,+135,+270,+135,+270,180,0,(1),(2),(B),1,0,1
9,2,+135,+270,+135,+270,180,0,(3),(1),(A),1,0,0
10,0,-135,0,+90,+225,+45,0,(2),(2),(B),1,1,1
10,1,-135,0,+90,+225,+45,0,(2),(1),(B),1,1,0
10,2,-135,0,+90,+225,+45,0,(2),(1),(B),1,1,1
11,0,-45,+90,+90,+225,180,0,(3),(2),(B),1,1,1
11,1,-45,+90,+90,+225,180,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
11,2,-45,+90,+90,+225,180,0,(2),(1),(A),1,1,1
12,0,+135,+270,-45,+90,180,0,(1),(1),(A),1,1,1
12,1,+135,+270,-45,+90,180,0,(3),(1),(B),1,0,0
12,2,+135,+270,-45,+90,180,0,(1),(2),(A),1,1,0
13,0,-45,+90,-135,0,180,0,(3),(1),(C),1,0,1
13,1,-45,+90,-135,0,180,0,(3),(1),(C),1,1,1
13,2,-45,+90,-135,0,180,0,(2),(1),(B),1,0,1
14,0,-90,+45,-90,+45,180,0,(2),(1),(A),1,1,0
14,1,-90,+45,-90,+45,180,0,(2),(1),(B),1,1,1
14,2,-90,+45,-90,+45,180,0,(3),(1),(C),1,1,0
15,0,+90,+225,-45,+90,+45,0,(1),(2),(B),1,0,0
15,1,+90,+225,-45,+90,+45,0,(3),(1),(C),1,1,0
15,2,+90,+225,-45,+90,+45,0,(1),(2),(B),1,0,1
16,0,-45,+90,+135,+270,180,0,(1),(2),(A),1,1,0
16,1,-45,+90,+135,+270,180,0,(1),(1),(A),1,1,0
16,2,-45,+90,+135,+270,180,0,(1),(2),(A),1,1,0
17,0,-135,0,+135,+270,+45,0,(3),(1),(A),1,1,0
17,1,-135,0,+135,+270,+45,0,(2),(2),(B),1,1,0
17,2,-135,0,+135,+270,+45,0,(3),(1),(A),1,1,0
18,0,-45,+90,+135,+270,180,0,(1),(1),(A),1,1,0
18,1,-45,+90,+135,+270,180,0,(2),(1),(A),1,1,1
18,2,-45,+90,+135,+270,180,0,(2),(1),(B),1,0,1
19,0,+90,+225,-90,+45,180,0,(3),(1),(B),1,0,0
19,1,+90,+225,-90,+45,180,0,(3),(1),(A),1,1,0
19,2,+90,+225,-90,+45,180,0,(2),(1),(A),1,1,0
20,0,+135,+270,+135,+270,+45,0,(2),(2),(B),1,1,0
20,1,+135,+270,+135,+270,+45,0,(1),(2),(A),1,1,1
20,2,+135,+270,+135,+270,+45,0,(2),(1),(B),1,1,1
21,0,+135,+270,-135,0,+45,0,(2),(2),(B),1,1,0
21,1,+135,+270,-135,0,+45,0,(1),(2),(A),1,1,0
21,2,+135,+270,-135,0,+45,0,(3),(1),(C),1,1,0
22,0,-135,0,-135,0,+45,0,(1),(2),(A),1,0,1
22,1,-135,0,-135,0,+45,0,(2),(2),(B),1,1,1
22,2,-135,0,-135,0,+45,0,(1),(2),(A),1,0,0
23,0,-135,0,+45,180,180,0,(2),(1),(A),1,1,0
23,1,-135,0,+45,180,180,0,(2),(1),(A),1,0,0
23,2,-135,0,+45,180,180,0,(1),(2),(A),1,1,0
24,0,+90,+225,-135,0,+45,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
24,1,+90,+225,-135,0,+45,0,(3),(1),(B),1,1,0
24,2,+90,+225,-135,0,+45,0,(3),(2),(B),1,1,0
25,0,+135,+270,-90,+45,180,0,(1),(1),(A),1,1,1
