Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,+90,+270,-90,180,-45,0,(1),(2),(B),1,1,1
0,1,+90,+270,-90,180,-45,0,(2),(2),(B),1,1,1
0,2,+90,+270,-90,180,-45,0,(2),(2),(B),1,1,0
1,0,+90,+270,+90,180,+45,0,(3),(2),(B),1,1,1
1,1,+90,+270,+90,180,+45,0,(3),(1),(C),1,1,1
1,2,+90,+270,+90,180,+45,0,(3),(1),(C),1,1,0
2,0,+45,+225,-45,180,-45,0,(1),(2),(A),1,1,1
2,1,+45,+225,-45,180,-45,0,(2),(2),(A),1,1,1
2,2,+45,+225,-45,180,-45,0,(1),(1),(A),1,1,0
3,0,-135,+45,-45,180,-90,0,(3),(1),(C),1,1,1
3,1,-135,+45,-45,180,-90,0,(3),(1),(C),1,0,1
3,2,-135,+45,-45,180,-90,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
4,0,+135,+315,+135,180,-90,0,(3),(2),(B),1,1,0
4,1,+135,+315,+135,180,-90,0,(1),(2),(B),1,1,1
4,2,+135,+315,+135,180,-90,0,(1),(2),(B),1,1,0
5,0,-45,+135,-45,180,-90,0,(1),(1),(A),1,0,0
5,1,-45,+135,-45,180,-90,0,(2),(1),(B),1,0,1
5,2,-45,+135,-45,180,-90,0,(1),(2),(B),1,0,0
6,0,+90,+270,+45,180,+90,0,(2),(1),(B),1,0,1
6,1,+90,+270,+45,180,+90,0,(2),(1),(B),1,0,1
6,2,+90,+270,+45,180,+90,0,(1),(1),(A),1,0,0
7,0,+45,+225,+90,180,+90,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
7,1,+45,+225,+90,180,+90,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
7,2,+45,+225,+90,180,+90,0,(2),(1),(B),1,1,1
8,0,-45,+135,-135,180,+90,0,(2),(2),(B),1,1,1
8,1,-45,+135,-135,180,+90,0,(1),(2),(B),1,1,1
8,2,-45,+135,-135,180,+90,0,(1),(2),(A),1,1,0
9,0,+135,+315,+135,180,+45,0,(1),(1),(A),1,1,0
9,1,+135,+315,+135,180,+45,0,(3),(2),(A),1,1,0
9,2,+135,+315,+135,180,+45,0,(1),(2),(A),1,1,0
10,0,+45,+225,+90,180,-45,0,(2),(1),(B),1,0,0
10,1,+45,+225,+90,180,-45,0,(3),(2),(B),1,1,0
10,2,+45,+225,+90,180,-45,0,(3),(2),(B),1,1,0
11,0,-135,+45,-45,180,+90,0,(3),(1),(C),1,0,0
11,1,-135,+45,-45,180,+90,0,(3),(1),(C),1,0,1
11,2,-135,+45,-45,180,+90,0,(3),(2),(B),1,0,0
12,0,-135,+45,+45,180,+90,0,(3),(1),(B),1,1,1
12,1,-135,+45,+45,180,+90,0,(3),(1),(C),1,0,1
12,2,-135,+45,+45,180,+90,0,(1),(1),(A),1,0,0
13,0,-45,+135,-135,180,-45,0,(2),(1),(B),1,1,0
13,1,-45,+135,-135,180,-45,0,(2),(1),(B),1,1,0
13,2,-45,+135,-135,180,-45,0,(2),(2),(B),1,1,0
14,0,-45,+135,-45,180,-90,0,(1),(2),(A),1,0,1
14,1,-45,+135,-45,180,-90,0,(3),(2),(B),1,0,1
14,2,-45,+135,-45,180,-90,0,(2),(1),(B),1,0,0
15,0,-45,+135,+135,180,-45,0,(1),(1),(A),1,1,0
15,1,-45,+135,+135,180,-45,0,A,A,(A),Null,Null,0
15,2,-45,+135,+135,180,-45,0,(2),(1),(B),1,0,0
16,0,-90,+90,+135,180,-45,0,(2),(2),(B),1,1,0
