Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,Yellow,Green,Red,Green,Grey,0,(1),(2),(A),1,1,1
0,1,Yellow,Green,Red,Green,Grey,0,(1),(2),(A),1,1,0
0,2,Yellow,Green,Red,Green,Grey,0,(2),(4),(B),1,0,0
1,0,Yellow,Green,Blue,Green,Grey,0,(3),(1),(C),1,1,1
1,1,Yellow,Green,Blue,Green,Grey,0,(1),(1),(A),1,1,0
1,2,Yellow,Green,Blue,Green,Grey,0,(1),(2),(A),1,1,1
2,0,Blue,Green,Yellow,Green,Grey,0,(1),(2),(A),1,1,0
2,1,Blue,Green,Yellow,Green,Grey,0,(3),(2),(C),1,1,1
2,2,Blue,Green,Yellow,Green,Grey,0,(1),(1),(A),1,1,1
3,0,Blue,Green,Red,Green,Grey,0,(3),(4),(C),1,0,0
3,1,Blue,Green,Red,Green,Grey,0,(2),(4),(B),1,0,0
3,2,Blue,Green,Red,Green,Grey,0,(2),(4),(B),1,0,1
4,0,Yellow,Green,Grey,Green,Blue,0,(3),(1),(C),1,1,0
4,1,Yellow,Green,Grey,Green,Blue,0,(2),(4),(B),1,0,0
4,2,Yellow,Green,Grey,Green,Blue,0,(1),(1),(A),1,1,0
5,0,Red,Green,Yellow,Green,Blue,0,(3),(2),(C),1,1,1
5,1,Red,Green,Yellow,Green,Blue,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,1
5,2,Red,Green,Yellow,Green,Blue,0,(3),(4),(C),1,0,1
6,0,Red,Green,Blue,Green,Grey,0,(1),(4),(A),1,0,0
6,1,Red,Green,Blue,Green,Grey,0,(1),(4),(A),1,0,0
6,2,Red,Green,Blue,Green,Grey,0,(3),(4),(C),1,0,0
7,0,Yellow,Green,Blue,Green,Red,0,(1) Color of objects,(4) Doesn't apply,(A),1,0,0
7,1,Yellow,Green,Blue,Green,Red,0,(3),(2),(C),1,1,0
7,2,Yellow,Green,Blue,Green,Red,0,(2),(4),(B),1,0,0
8,0,Grey,Green,Blue,Green,Red,0,(2),(2),(B),1,1,0
8,1,Grey,Green,Blue,Green,Red,0,(2),(1),(B),1,1,1
8,2,Grey,Green,Blue,Green,Red,0,(1),(1),(A),1,1,1
9,0,Grey,Green,Red,Green,Yellow,0,(2),(1),(B),1,1,0
9,1,Grey,Green,Red,Green,Yellow,0,(1),(2),(A),1,1,1
9,2,Grey,Green,Red,Green,Yellow,0,(1),(2),(A),1,1,0
10,0,Yellow,Green,Blue,Green,Red,0,(2),(2),(B),1,1,0
10,1,Yellow,Green,Blue,Green,Red,0,(1),(2),(A),1,0,0
10,2,Yellow,Green,Blue,Green,Red,0,(2),(2),(B),1,1,1
11,0,Red,Green,Yellow,Green,Grey,0,(3),(4),(C),1,0,1
11,1,Red,Green,Yellow,Green,Grey,0,(1),(4),(A),1,0,1
11,2,Red,Green,Yellow,Green,Grey,0,(2),(4),(B),1,0,0
12,0,Grey,Green,Yellow,Green,Red,0,(1),(1),(A),1,1,0
12,1,Grey,Green,Yellow,Green,Red,0,(3),(1),(C),1,1,0
12,2,Grey,Green,Yellow,Green,Red,0,(3),(1),(B),1,1,0
13,0,Red,Green,Grey,Green,Blue,0,(3),(4),(C),1,0,0
13,1,Red,Green,Grey,Green,Blue,0,(1),(2),(A),1,1,1
13,2,Red,Green,Grey,Green,Blue,0,(3),(4),(C),1,0,0
14,0,Blue,Green,Yellow,Green,Grey,0,(3),(4),(C),1,0,0
14,1,Blue,Green,Yellow,Green,Grey,0,(2),(4),(B),1,0,1
14,2,Blue,Green,Yellow,Green,Grey,0,(3),(4),(C),1,0,1
15,0,Blue,Green,Red,Green,Yellow,0,(2),(1),(B),1,1,1
15,1,Blue,Green,Red,Green,Yellow,0,(1),(2),(A),1,1,1
15,2,Blue,Green,Red,Green,Yellow,0,(2),(4),(B),1,0,0
16,0,Grey,Green,Red,Green,Yellow,0,(1),(1),(A),1,1,0
16,1,Grey,Green,Red,Green,Yellow,0,(2),(2),(B),1,1,0
16,2,Grey,Green,Red,Green,Yellow,0,(2),(1),(A),1,1,0
17,0,Red,Green,Grey,Green,Yellow,0,(3),(1),(A),1,1,1
17,1,Red,Green,Grey,Green,Yellow,0,(1),(1),(A),1,1,0
17,2,Red,Green,Grey,Green,Yellow,0,(2),(4),(B),1,0,0
18,0,Yellow,Green,Red,Green,Blue,0,(1),(2),(A),1,1,1
18,1,Yellow,Green,Red,Green,Blue,0,(3),(2),(A),1,1,0
18,2,Yellow,Green,Red,Green,Blue,0,(1),(2),(A),1,0,0
19,0,Grey,Green,Red,Green,Yellow,0,(2),(3),(B),1,0,1
19,1,Grey,Green,Red,Green,Yellow,0,(1),(4),(A),1,0,0
19,2,Grey,Green,Red,Green,Yellow,0,(3),(4),(C),1,0,1
20,0,Red,Green,Blue,Green,Yellow,0,(2),(3),(B),1,0,0
20,1,Red,Green,Blue,Green,Yellow,0,(2),(3),(B),1,0,0
20,2,Red,Green,Blue,Green,Yellow,0,(1),(2),(A),1,1,1
21,0,Red,Green,Yellow,Green,Grey,0,(2),(4),(B),1,0,1
21,1,Red,Green,Yellow,Green,Grey,0,(2),(4),(B),1,0,0
21,2,Red,Green,Yellow,Green,Grey,0,(2),(4),(B),1,0,0
22,0,Blue,Green,Yellow,Green,Grey,0,(1),(2),(A),1,1,1
22,1,Blue,Green,Yellow,Green,Grey,0,(1),(4),(A),1,0,0
22,2,Blue,Green,Yellow,Green,Grey,0,(3),(2),(C),1,1,1
23,0,Yellow,Green,Grey,Green,Red,0,(2),(4),(B),1,0,1
23,1,Yellow,Green,Grey,Green,Red,0,(1),(2),(A),1,1,0
23,2,Yellow,Green,Grey,Green,Red,0,(3),(1),(C),1,1,0
24,0,Blue,Green,Grey,Green,Red,0,(2),(4),(B),1,0,1
24,1,Blue,Green,Grey,Green,Red,0,(1),(4),(A),1,0,1
24,2,Blue,Green,Grey,Green,Red,0,(3),(4),(C),1,0,1
25,0,Yellow,Green,Blue,Green,Grey,0,(2),(1),(B),1,1,0
25,1,Yellow,Green,Blue,Green,Grey,0,(2),(1),(B),1,1,1
25,2,Yellow,Green,Blue,Green,Grey,0,(1),(2),(A),1,1,0
26,0,Grey,Green,Blue,Green,Red,0,(1),(1),(A),1,1,0
26,1,Grey,Green,Blue,Green,Red,0,(2),(1),(B),1,1,1
26,2,Grey,Green,Blue,Green,Red,0,(1),(1),(A),1,1,0
