Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,Blue,Red,Green,Red,Grey,0,(2),(4),(B),1,0,0
0,1,Blue,Red,Green,Red,Grey,0,(1),(4),(A),1,0,1
0,2,Blue,Red,Green,Red,Grey,0,(1),(2),(B),1,1,1
1,0,Green,Red,Yellow,Red,Blue,0,(1),(2),(A),1,1,1
1,1,Green,Red,Yellow,Red,Blue,0,(1),(2),(A),1,1,0
1,2,Green,Red,Yellow,Red,Blue,0,(3),(2),(C),1,1,0
2,0,Blue,Red,Grey,Red,Green,0,(3),(1),(A),1,1,0
2,1,Blue,Red,Grey,Red,Green,0,(1),(2),(A),1,1,0
2,2,Blue,Red,Grey,Red,Green,0,(1),(4),(A),1,0,1
3,0,Yellow,Red,Blue,Red,Grey,0,(1),(1),(A),1,1,1
3,1,Yellow,Red,Blue,Red,Grey,0,(3),(1),(A),1,1,0
3,2,Yellow,Red,Blue,Red,Grey,0,(3),(1),(A),1,1,0
4,0,Green,Red,Blue,Red,Grey,0,(3),(2),(A),1,1,0
4,1,Green,Red,Blue,Red,Grey,0,(1),(4),(A),1,0,0
4,2,Green,Red,Blue,Red,Grey,0,(1),(2),(A),1,1,0
5,0,Grey,Red,Blue,Red,Yellow,0,(3),(2),(A),1,1,0
5,1,Grey,Red,Blue,Red,Yellow,0,(2),(1),(B),1,1,0
5,2,Grey,Red,Blue,Red,Yellow,0,(3),(1),(C),1,1,0
6,0,Green,Red,Yellow,Red,Blue,0,(2),(4),(B),1,0,1
6,1,Green,Red,Yellow,Red,Blue,0,(1),(2),(A),1,1,0
6,2,Green,Red,Yellow,Red,Blue,0,(2),(1),(B),1,1,0
7,0,Blue,Red,Yellow,Red,Green,0,(1),(2),(A),1,1,0
7,1,Blue,Red,Yellow,Red,Green,0,(3),(4),(C),1,0,0
7,2,Blue,Red,Yellow,Red,Green,0,(3),(4),(C),1,0,0
8,0,Grey,Red,Blue,Red,Green,0,(2),(1),(A),1,1,0
8,1,Grey,Red,Blue,Red,Green,0,(3),(1),(B),1,1,0
8,2,Grey,Red,Blue,Red,Green,0,(2),(4),(B),1,0,0
9,0,Grey,Red,Yellow,Red,Green,0,(1),(4),(A),1,0,0
9,1,Grey,Red,Yellow,Red,Green,0,(2),(4),(B),1,0,0
9,2,Grey,Red,Yellow,Red,Green,0,(1),(2),(A),1,1,0
10,0,Grey,Red,Blue,Red,Green,0,(1),(4),(A),1,0,0
10,1,Grey,Red,Blue,Red,Green,0,(2),(4),(B),1,0,0
10,2,Grey,Red,Blue,Red,Green,0,(1),(4),(A),1,0,1
11,0,Yellow,Red,Green,Red,Blue,0,(3),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
11,1,Yellow,Red,Green,Red,Blue,0,(2),(4),(B),1,0,1
11,2,Yellow,Red,Green,Red,Blue,0,(3),(1),(C),1,1,1
12,0,Blue,Red,Yellow,Red,Grey,0,(3),(1),(A),1,1,0
12,1,Blue,Red,Yellow,Red,Grey,0,(1),(2),(A),1,1,1
12,2,Blue,Red,Yellow,Red,Grey,0,(1),(1),(A),1,1,0
13,0,Yellow,Red,Grey,Red,Blue,0,(1),(4),(A),1,0,0
13,1,Yellow,Red,Grey,Red,Blue,0,(1),(4),(A),1,0,1
13,2,Yellow,Red,Grey,Red,Blue,0,(1),(1),(A),1,1,1
14,0,Green,Red,Grey,Red,Yellow,0,(2),(2),(B),1,1,0
14,1,Green,Red,Grey,Red,Yellow,0,(3),(2),(C),1,0,1
14,2,Green,Red,Grey,Red,Yellow,0,(3),(2),(C),1,1,0
15,0,Green,Red,Blue,Red,Grey,0,(3),(1),(C),1,1,0
15,1,Green,Red,Blue,Red,Grey,0,(3),(2),(A),1,1,0
15,2,Green,Red,Blue,Red,Grey,0,(2),(1),(B),1,1,0
16,0,Blue,Red,Yellow,Red,Green,0,(2),(1),(B),1,1,0
16,1,Blue,Red,Yellow,Red,Green,0,(3),(1),(B),1,1,0
16,2,Blue,Red,Yellow,Red,Green,0,(1),(2),(B),1,1,1
17,0,Green,Red,Blue,Red,Grey,0,(2),(4),(B),1,0,1
17,1,Green,Red,Blue,Red,Grey,0,(1),(4),(A),1,0,1
17,2,Green,Red,Blue,Red,Grey,0,(2),(1),(B),1,1,0
18,0,Blue,Red,Green,Red,Grey,0,(1),(2),(A),1,1,0
18,1,Blue,Red,Green,Red,Grey,0,(3),(1),(C),1,1,0
18,2,Blue,Red,Green,Red,Grey,0,(2),(4),(B),1,0,0
19,0,Grey,Red,Green,Red,Yellow,0,(3),(4),(C),1,0,0
19,1,Grey,Red,Green,Red,Yellow,0,(2),(4),(B),1,0,0
19,2,Grey,Red,Green,Red,Yellow,0,(3),(4),(C),1,0,0
20,0,Blue,Red,Yellow,Red,Grey,0,(2),(4),(B),1,0,0
20,1,Blue,Red,Yellow,Red,Grey,0,(1),(4),(A),1,0,0
20,2,Blue,Red,Yellow,Red,Grey,0,(3),(4),(C),1,0,1
21,0,Green,Red,Yellow,Red,Blue,0,(2),(1),(B),1,1,1
21,1,Green,Red,Yellow,Red,Blue,0,(2),(4),(B),1,0,0
21,2,Green,Red,Yellow,Red,Blue,0,(3),(1),(C),1,1,0
22,0,Green,Red,Yellow,Red,Grey,0,(1),(2),(A),1,1,1
22,1,Green,Red,Yellow,Red,Grey,0,(1),(1),(A),1,1,0
22,2,Green,Red,Yellow,Red,Grey,0,(3),(1),(B),1,1,1
23,0,Blue,Red,Yellow,Red,Grey,0,(1),(4),(A),1,0,0
23,1,Blue,Red,Yellow,Red,Grey,0,(2),(4),(B),1,0,0
23,2,Blue,Red,Yellow,Red,Grey,0,(2),(1),(B),1,1,0
24,0,Grey,Red,Green,Red,Blue,0,(3),(2),(C),1,1,0
24,1,Grey,Red,Green,Red,Blue,0,(2),(1),(B),1,1,0
24,2,Grey,Red,Green,Red,Blue,0,(3),(1),(C),1,1,1
25,0,Grey,Red,Blue,Red,Yellow,0,(3),(2),(C),1,1,0
25,1,Grey,Red,Blue,Red,Yellow,0,(3),(1),(C),1,1,0
25,2,Grey,Red,Blue,Red,Yellow,0,(1),(1),(A),1,1,1
26,0,Yellow,Red,Grey,Red,Blue,0,(1),(1),(A),1,1,0
26,1,Yellow,Red,Grey,Red,Blue,0,(2),(1),(B),1,1,0
26,2,Yellow,Red,Grey,Red,Blue,0,(3),(1),(C),1,1,0
27,0,Green,Red,Yellow,Red,Blue,0,(1),(2),(A),1,1,0
27,1,Green,Red,Yellow,Red,Blue,0,(2),(1),(B),1,1,0
27,2,Green,Red,Yellow,Red,Blue,0,(2),(2),(B),1,1,0
28,0,Yellow,Red,Grey,Red,Green,0,(2),(1),(B),1,1,0
28,1,Yellow,Red,Grey,Red,Green,0,(3),(2),(B),1,1,1
28,2,Yellow,Red,Grey,Red,Green,0,(1),(2),(A),1,1,0
29,0,Yellow,Red,Green,Red,Blue,0,(2),(2),(B),1,1,0
29,1,Yellow,Red,Green,Red,Blue,0,(2),(1),(B),1,1,0
29,2,Yellow,Red,Green,Red,Blue,0,(3),(1),(C),1,1,0
30,0,Yellow,Red,Green,Red,Blue,0,(3),(1),(A),1,1,0
