Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,8,4.0,6,3.0,x2,0,(1),(2),(B),1,1,0
0,1,8,4.0,6,3.0,x2,0,(1),(2),(B),1,0,0
0,2,8,4.0,6,3.0,x2,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
1,0,8,4.0,6,3.0,x2,0,(1),(2),(B),1,1,0
1,1,8,4.0,6,3.0,x2,0,(2),(1),(B),1,0,0
1,2,8,4.0,6,3.0,x2,0,(4),"[Skipped mcq#2, incorrect previous response]",(C),0,,0
2,0,6,3.0,4,2.0,x2,0,(2),(2),(B),1,1,1
2,1,6,3.0,4,2.0,x2,0,(3),(2),(B),1,1,0
2,2,6,3.0,4,2.0,x2,0,(1),(2),(B),1,0,0
3,0,8,4.0,4,2.0,x2,0,(2),(1),(B),1,0,1
3,1,8,4.0,4,2.0,x2,0,(1),(2),(B),1,1,0
3,2,8,4.0,4,2.0,x2,0,(3),(2),(B),1,0,0
4,0,6,3.0,4,2.0,x2,0,(3),(2),(B),1,1,0
4,1,6,3.0,4,2.0,x2,0,(2),(2),(B),1,0,1
4,2,6,3.0,4,2.0,x2,0,(1),(2),(B),1,0,1
5,0,8,4.0,4,2.0,x2,0,(1),"[Skipped mcq#2, incorrect previous response]",(A),0,,1
5,1,8,4.0,4,2.0,x2,0,(1),(2),(B),1,0,1
5,2,8,4.0,4,2.0,x2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
6,0,6,3.0,8,4.0,x2,0,(3),(2),(B),1,1,0
6,1,6,3.0,8,4.0,x2,0,(2),(1),(B),1,0,0
6,2,6,3.0,8,4.0,x2,0,(1),(2),(B),1,0,0
7,0,8,4.0,4,2.0,x2,0,(1),(2),(B),1,1,0
7,1,8,4.0,4,2.0,x2,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
