Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
24,0,0,90,0,90,(B)</s>,0,No change
24,1,0,90,0,90,(B)</s>,0,No change
24,2,0,90,0,90,(B)</s>,1,+90
39,0,0,90,0,90,(B)</s>,1,+90
39,1,0,90,0,90,(B)</s>,0,No change
39,2,0,90,0,90,(B)</s>,0,No change
23,0,0,90,0,90,(B)</s>,1,+90
23,1,0,90,0,90,(B)</s>,1,+90
23,2,0,90,0,90,(B)</s>,1,+90
17,0,0,90,0,90,(B)</s>,0,180
17,1,0,90,0,90,(B)</s>,0,No change
17,2,0,90,0,90,(B)</s>,1,+90
27,0,0,90,0,90,(B)</s>,0,180
27,1,0,90,0,90,(B)</s>,1,+90
27,2,0,+90,0,90,(B)</s>,0,180
