Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
28,0,0,-90,0,-90,(B)</s>,1,-90
28,1,0,-90,0,-90,(B)</s>,1,-90
28,2,0,-90,0,-90,(B)</s>,1,-90
13,0,0,-90,0,-90,(B)</s>,0,No change
13,1,0,-90,0,-90,(B)</s>,1,-90
13,2,0,-90,0,-90,(B)</s>,0,180
8,0,0,-90,0,-90,(B)</s>,1,-90
8,1,0,-90,0,-90,(B)</s>,0,180
8,2,0,-90,0,-90,(B)</s>,0,180
23,0,0,-90,0,-90,(B)</s>,1,-90
23,1,0,-90,0,-90,(B)</s>,0,No change
23,2,0,-90,0,-90,(B)</s>,0,180
41,0,0,-90,0,-90,(B)</s>,0,180
41,1,0,-90,0,-90,(B)</s>,0,No change
41,2,0,-90,0,-90,(B)</s>,1,-90
