Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
24,0,0,180,0,180,(B)</s>,0,90
24,1,0,180,0,180,(B)</s>,0,No change
24,2,0,180,0,180,(B)</s>,1,180
25,0,0,180,0,180,(B)</s>,1,180
25,1,0,180,0,180,(B)</s>,0,No change
25,2,0,180,0,180,(B)</s>,0,No change
2,0,0,180,0,180,(B)</s>,0,No change
2,1,0,180,0,180,(B)</s>,0,No change
2,2,0,180,0,180,(B)</s>,0,No change
32,0,0,180,0,180,(B)</s>,0,No change
32,1,0,180,0,180,(B)</s>,0,+90
32,2,0,180,0,180,(B)</s>,0,+90
9,0,0,180,0,180,(B)</s>,0,+90
9,1,0,180,0,180,(B)</s>,1,180
9,2,0,180,0,180,(B)</s>,0,+90
