Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
6,0,0,Green,0,Green,(B)</s>,0,No change
6,1,0,Green,0,Green,(B)</s>,0,No change
6,2,0,Green,0,Green,(B)</s>,0,Blue
0,0,0,Green,0,Green,(B)</s>,1,Green
0,1,0,Green,0,Green,(B)</s>,0,Red
0,2,0,Green,0,Green,(B)</s>,0,No change
38,0,0,Green,0,Green,(B)</s>,0,Red
38,1,0,Green,0,Green,(B)</s>,0,Red
38,2,0,Green,0,Green,(B)</s>,0,No change
29,0,0,Green,0,Green,(B)</s>,0,No change
29,1,0,Green,0,Green,(B)</s>,0,No change
29,2,0,Green,0,Green,(B)</s>,0,No change
32,0,0,Green,0,Green,(B)</s>,0,Blue
32,1,0,Green,0,Green,(B)</s>,1,Green
32,2,0,Green,0,Green,(B)</s>,0,No change
