Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
42,0,0,Red,0,Red,(B)</s>,1,Red
42,1,0,Red,0,Red,(B)</s>,0,Blue
42,2,0,Red,0,Red,(B)</s>,1,Red
23,0,0,Red,0,Red,(B)</s>,1,Red
23,1,0,Red,0,Red,(B)</s>,0,Green
23,2,0,Red,0,Red,(B)</s>,0,Green
2,0,0,Red,0,Red,(B)</s>,1,Red
2,1,0,Red,0,Red,(B)</s>,0,Blue
2,2,0,Red,0,Red,(B)</s>,0,Blue
14,0,0,Red,0,Red,(B)</s>,1,Red
14,1,0,Red,0,Red,(B)</s>,0,Green
14,2,0,Red,0,Red,(B)</s>,1,Red
47,0,0,Red,0,Red,(B)</s>,0,No change
47,1,0,Red,0,Red,(B)</s>,1,Red
47,2,0,Red,0,Red,(B)</s>,0,Green
