Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
5,0,2,4,2,4,(B)</s>,0,No change
5,1,2,4,2,4,(B)</s>,1,+2
5,2,2,4,2,4,(B)</s>,0,-1
44,0,4,6,4,6,(B)</s>,0,-1
44,1,4,6,4,6,(B)</s>,0,No change
44,2,4,6,4,6,(B)</s>,0,No change
19,0,3,5,3,5,(B)</s>,1,+2
19,1,3,5,3,5,(B)</s>,0,-1
19,2,3,5,3,5,(B)</s>,0,No change
11,0,3,5,3,5,(B)</s>,0,-1
11,1,3,5,3,5,(B)</s>,1,+2
11,2,3,5,3,5,(B)</s>,1,+2
4,0,4,6,4,6,(B)</s>,0,-1
4,1,4,6,4,6,(B)</s>,0,No change
4,2,4,6,4,6,(B)</s>,0,-1
