Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
31,0,4,3,4,3,(B)</s>,1,-1
31,1,4,3,4,3,(B)</s>,1,-1
31,2,4,3,4,3,(B)</s>,1,-1
19,0,4,3,4,3,(B)</s>,0,1
19,1,4,3,4,3,(B)</s>,0,No change
19,2,4,3,4,3,(B)</s>,0,+1
13,0,4,3,4,3,(B)</s>,1,-1
13,1,4,3,4,3,(B)</s>,0,+1
13,2,4,3,4,3,(B)</s>,0,No change
4,0,5,4,5,4,(B)</s>,0,+1
4,1,5,4,5,4,(B)</s>,0,No change
4,2,5,4,5,4,(B)</s>,0,+1
32,0,4,3,4,3,(B)</s>,0,+1
32,1,4,3,4,3,(B)</s>,0,+1
32,2,4,3,4,3,(B)</s>,0,+1
