Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
6,0,0,Y,0,Y,(B)</s>,0,X
6,1,0,Y,0,Y,(B)</s>,1,Y
6,2,0,Y,0,Y,(B)</s>,1,Y
5,0,0,Y,0,Y,(B)</s>,1,Y
5,1,0,Y,0,Y,(B)</s>,0,No change
5,2,0,Y,0,Y,(B)</s>,1,Y
35,0,0,Y,0,Y,(B)</s>,0,X
35,1,0,Y,0,Y,(B)</s>,0,No change
35,2,0,Y,0,Y,(B)</s>,1,Y
26,0,0,Y,0,Y,(B)</s>,0,No change
26,1,0,Y,0,Y,(B)</s>,0,X
26,2,0,Y,0,Y,(B)</s>,1,Y
4,0,0,Y,0,Y,(B)</s>,0,No change
4,1,0,Y,0,Y,(B)</s>,0,X
4,2,0,Y,0,Y,(B)</s>,0,No change
