Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
1,0,0,2XY,0,2XY,(B)</s>,1,2XY
1,1,0,2XY,0,2XY,(B)</s>,0,No change
1,2,0,2XY,0,2XY,(B)</s>,0,No change
23,0,0,2XY,0,2XY,(B)</s>,0,No change
23,1,0,2XY,0,2XY,(B)</s>,0,No change
23,2,0,2XY,0,2XY,(B)</s>,0,No change
45,0,0,2XY,0,2XY,(B)</s>,0,0.5XY
45,1,0,2XY,0,2XY,(B)</s>,0,0.5XY
45,2,0,2XY,0,2XY,(B)</s>,0,No change
46,0,0,2XY,0,2XY,(B)</s>,0,No change
46,1,0,2XY,0,2XY,(B)</s>,0,0.5XY
46,2,0,2XY,0,2XY,(B)</s>,1,2XY
37,0,0,2XY,0,2XY,(B)</s>,0,0.5XY
37,1,0,2XY,0,2XY,(B)</s>,0,No change
37,2,0,2XY,0,2XY,(B)</s>,1,2XY
