Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Test_wrong1,Test_wrong2,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3
0,0,0,180,0,180,90,0,(1),(2),(B),1,1.0,0
0,1,0,180,0,180,90,0,(3),(2),(B),1,1.0,1
0,2,0,180,0,180,90,0,(2),(1),(A),1,1.0,0
1,0,0,180,0,180,90,0,(3),(1),(C),1,0.0,0
1,1,0,180,0,180,90,0,(1),(2),(A),1,0.0,1
1,2,0,180,0,180,90,0,(3),(1),(C),1,0.0,0
2,0,0,180,0,180,90,0,(3),(1),(C),1,1.0,0
2,1,0,180,0,180,90,0,(1),(2),(A),1,0.0,0
2,2,0,180,0,180,90,0,(3),(1),(C),1,1.0,0
3,0,0,180,0,180,90,0,(2),(1),(A),1,1.0,1
3,1,0,180,0,180,90,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
3,2,0,180,0,180,90,0,(2),(1),(A),1,0.0,0
4,0,0,180,0,180,90,0,(3),(1),(C),1,0.0,0
4,1,0,180,0,180,90,0,(3),(1),(C),1,0.0,0
4,2,0,180,0,180,90,0,(2),(1),(B),1,1.0,0
5,0,0,180,0,180,90,0,(3),(1),(C),1,0.0,1
5,1,0,180,0,180,90,0,(3),(1),(C),1,0.0,1
5,2,0,180,0,180,90,0,(2),(1),(B),1,0.0,0
6,0,0,180,0,180,90,0,(2),(1),(B),1,1.0,0
6,1,0,180,0,180,90,0,(1),(1),(A),1,0.0,0
6,2,0,180,0,180,90,0,(2),(1),(B),1,1.0,1
7,0,0,180,0,180,90,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
7,1,0,180,0,180,90,0,(2),(1),(B),1,0.0,0
7,2,0,180,0,180,90,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0
8,0,0,180,0,180,90,0,(2),(1),(B),1,1.0,0
8,1,0,180,0,180,90,0,(2),(2),(B),1,1.0,0
8,2,0,180,0,180,90,0,(1),(1),(A),1,1.0,1
9,0,0,180,0,180,90,0,(2),(1),(B),1,1.0,0
9,1,0,180,0,180,90,0,(3),(2),(B),1,1.0,0
9,2,0,180,0,180,90,0,(2),(1),(B),1,1.0,1
10,0,0,180,0,180,90,0,(2),(1),(B),1,0.0,0
10,1,0,180,0,180,90,0,(2),(1),(B),1,0.0,0
10,2,0,180,0,180,90,0,(3),(1),(C),1,0.0,1
11,0,0,180,0,180,90,0,(2),(1),(B),1,0.0,0
11,1,0,180,0,180,90,0,(3),(1),(C),1,1.0,1
11,2,0,180,0,180,90,0,(3),(1),(C),1,1.0,1
12,0,0,180,0,180,90,0,(3),(1),(B),1,1.0,1
12,1,0,180,0,180,90,0,(1),(2),(B),1,0.0,1
