Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
35,0,0,90,(2),0,Objects turn 180 degrees
35,1,0,90,A (1),1,Objects turn 90 degrees
35,2,0,90,A (1),1,Objects turn 90 degrees
14,0,0,90,(1),1,Objects turn 90 degrees
14,1,0,90,(1),1,Objects turn 90 degrees
14,2,0,90,(2),1,Objects turn 90 degrees
48,0,0,90,(2),0,Objects turn 180 degrees
48,1,0,90,(2),0,Objects turn 180 degrees
48,2,0,90,(2),0,Objects turn 180 degrees
13,0,0,90,A (1),0,Objects turn 180 degrees
13,1,0,90,A (1),0,Objects turn 180 degrees
13,2,0,90,A (1),0,Objects turn 180 degrees
31,0,0,90,A (1),1,Objects turn 90 degrees
31,1,0,90,A (1),0,Objects turn 180 degrees
31,2,0,+90,A (1),0,Objects turn 180 degrees
