Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
24,0,0,-90,A (1),1,Objects turn 90 degrees
24,1,0,-90,A (1),0,Objects turn 180 degrees
24,2,0,-90,A (1),0,Objects turn 180 degrees
11,0,0,-90,A (1),1,Objects turn 90 degrees
11,1,0,-90,A (1),0,Objects turn 180 degrees
11,2,0,-90,A (1),0,Objects turn 180 degrees
0,0,0,-90,A (1),1,Objects turn 90 degrees
0,1,0,-90,A (1),1,Objects turn 90 degrees
0,2,0,-90,A (1),0,Objects turn 180 degrees
22,0,0,-90,A (1),1,Objects turn 90 degrees
22,1,0,-90,A (1),1,Objects turn 90 degrees
22,2,0,-90,A (1),0,Objects turn 180 degrees
34,0,0,-90,A (1),1,Objects turn 90 degrees
34,1,0,-90,A (1),1,Objects turn 90 degrees
34,2,0,-90,A (1),0,Objects turn 180 degrees
