Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
27,0,0,180,A (1),1,Objects turn 180 degrees
27,1,0,180,A (1),1,Objects turn 180 degrees
27,2,0,180,A (1),1,Objects turn 180 degrees
42,0,0,180,A (1),1,Objects turn 180 degrees
42,1,0,180,A (1),0,Objects turn 90 degrees
42,2,0,180,A (1),1,Objects turn 180 degrees
38,0,0,180,(1),0,Objects turn 90 degrees
38,1,0,180,(1),0,Objects turn 90 degrees
38,2,0,180,(1),0,Objects turn 90 degrees
41,0,0,180,A (1),1,Objects turn 180 degrees
41,1,0,180,A (1),1,Objects turn 180 degrees
41,2,0,180,A (1),1,Objects turn 180 degrees
0,0,0,180,A (1),1,Objects turn 180 degrees
0,1,0,180,A (1),1,Objects turn 180 degrees
0,2,0,180,A (1),1,Objects turn 180 degrees
