Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
15,0,0,Blue,(1),1,Objects turn Blue
15,1,0,Blue,(2),1,Objects turn Blue
15,2,0,Blue,(1),1,Objects turn Blue
49,0,0,Blue,(2),1,Objects turn Blue
49,1,0,Blue,(1),1,Objects turn Blue
49,2,0,Blue,(1),1,Objects turn Blue
44,0,0,Blue,(2),1,Objects turn Blue
44,1,0,Blue,(1),1,Objects turn Blue
44,2,0,Blue,(1),1,Objects turn Blue
4,0,0,Blue,(2),1,Objects turn Blue
4,1,0,Blue,(1),1,Objects turn Blue
4,2,0,Blue,(1),1,Objects turn Blue
30,0,0,Blue,(1),1,Objects turn Blue
30,1,0,Blue,(1),1,Objects turn Blue
30,2,0,Blue,(2),1,Objects turn Blue
