Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
20,0,0,Green,(1),1,Objects turn Green
20,1,0,Green,(1),1,Objects turn Green
20,2,0,Green,(2),1,Objects turn Green
8,0,0,Green,(2),1,Objects turn Green
8,1,0,Green,(2),1,Objects turn Green
8,2,0,Green,(2),1,Objects turn Green
34,0,0,Green,(2),1,Objects turn Green
34,1,0,Green,(2),1,Objects turn Green
34,2,0,Green,(1),1,Objects turn Green
37,0,0,Green,(2),1,Objects turn Green
37,1,0,Green,(1),1,Objects turn Green
37,2,0,Green,(2),1,Objects turn Green
10,0,0,Green,(2),1,Objects turn Green
10,1,0,Green,(2),1,Objects turn Green
10,2,0,Green,(2),1,Objects turn Green
