Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
1,0,3,4,(4),0,Doesn't apply
1,1,3,4,(4),0,Doesn't apply
1,2,3,4,(4),0,Doesn't apply
0,0,2,3,(2),0,Things go down by 1
0,1,2,3,(2),1,Things go up by 1
0,2,2,3,(2),0,Things go down by 1
10,0,4,5,(2),1,Things go up by 1
10,1,4,5,(2),1,Things go up by 1
10,2,4,5,(1),1,Things go up by 1
24,0,4,5,(2),1,Things go up by 1
24,1,4,5,(2),0,Things go down by 1
24,2,4,5,(2),0,Things go down by 1
25,0,3,4,(4),0,Doesn't apply
25,1,3,4,(4),0,Doesn't apply
25,2,3,4,(4),0,Doesn't apply
