Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
48,0,5,3,(2),0,Things go up by 2
48,1,5,3,(2),1,Things go down by 2
48,2,5,3,(2),0,Things go up by 2
25,0,3,1,(2),0,Things go up by 2
25,1,3,1,(2),0,Things go up by 2
25,2,3,1,(2),0,Things go up by 2
37,0,5,3,(2),0,Things go up by 2
37,1,5,3,(2),0,Things go up by 2
37,2,5,3,(2),1,Things go down by 2
40,0,3,1,(2),1,Things go down by 2
40,1,3,1,(2),0,Things go up by 2
40,2,3,1,(2),1,Things go down by 2
8,0,3,1,(2),0,Things go up by 2
8,1,3,1,(2),1,Things go down by 2
8,2,3,1,(2),0,Things go up by 2
