Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
30,0,0,X,(2),1,Objects flip upside down
30,1,0,X,(2),1,Objects flip upside down
30,2,0,X,(1),1,Objects flip upside down
18,0,0,X,(1),1,Objects flip upside down
18,1,0,X,(1),1,Objects flip upside down
18,2,0,X,(1),1,Objects flip upside down
29,0,0,X,(2),1,Objects flip upside down
29,1,0,X,(2),1,Objects flip upside down
29,2,0,X,(1),1,Objects flip upside down
36,0,0,X,(1),1,Objects flip upside down
36,1,0,X,(1),1,Objects flip upside down
36,2,0,X,(2),1,Objects flip upside down
8,0,0,X,A (1),1,Objects flip upside down
8,1,0,X,A (1),1,Objects flip upside down
8,2,0,X,(2),1,Objects flip upside down
