Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
46,0,0,Y,A (1),0,Objects flip upside down
46,1,0,Y,(2),0,Objects flip upside down
46,2,0,Y,(2),0,Objects flip upside down
0,0,0,Y,A (1),0,Objects flip upside down
0,1,0,Y,(2),0,Objects flip upside down
0,2,0,Y,A (1),0,Objects flip upside down
12,0,0,Y,(2),0,Objects flip upside down
12,1,0,Y,(2),0,Objects flip upside down
12,2,0,Y,(2),0,Objects flip upside down
25,0,0,Y,(1),0,Objects flip upside down
25,1,0,Y,(2),0,Objects flip upside down
25,2,0,Y,(1),0,Objects flip upside down
33,0,0,Y,(2),0,Objects flip upside down
33,1,0,Y,(1),0,Objects flip upside down
33,2,0,Y,(2),0,Objects flip upside down
