Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
15,0,0,0.5XY,A (1),0,Objects become bigger
15,1,0,0.5XY,A (1),0,Objects become bigger
15,2,0,0.5XY,A (1),1,Objects become smaller
38,0,0,0.5XY,A (1),0,Objects become bigger
38,1,0,0.5XY,A (1),1,Objects become smaller
38,2,0,0.5XY,A (1),1,Objects become smaller
47,0,0,0.5XY,(2),0,Objects become bigger
47,1,0,0.5XY,(2),1,Objects become smaller
47,2,0,0.5XY,(2),1,Objects become smaller
22,0,0,0.5XY,A (1),1,Objects become smaller
22,1,0,0.5XY,A (1),0,Objects become bigger
22,2,0,0.5XY,A (1),0,Objects become bigger
45,0,0,0.5XY,(2),0,Objects become bigger
45,1,0,0.5XY,(2),0,Objects become bigger
45,2,0,0.5XY,A (1),0,Objects become bigger
