Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
22,0,0,180,0,180,(B),0,90
22,1,0,180,0,180,(B),0,90
22,2,0,180,0,180,(B),1,180
47,0,0,180,0,180,(B),0,No change
47,1,0,180,0,180,(B),1,180
47,2,0,180,0,180,(B),0,No change
42,0,0,180,0,180,(B),0,No change
42,1,0,180,0,180,(B),0,+90
42,2,0,180,0,180,(B),1,180
6,0,0,180,0,180,(B),0,+90
6,1,0,180,0,180,(B),1,180
6,2,0,180,0,180,(B),1,180
1,0,0,180,0,180,(B),0,+90
1,1,0,180,0,180,(B),1,180
1,2,0,180,0,180,(B),1,180
