Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
27,0,0,Red,0,Red,(B),0,Green
27,1,0,Red,0,Red,(B),0,Green
27,2,0,Red,0,Red,(B),0,No change
29,0,0,Red,0,Red,(B),0,Blue
29,1,0,Red,0,Red,(B),1,Red
29,2,0,Red,0,Red,(B),0,Blue
21,0,0,Red,0,Red,(A),0,Green
21,1,0,Red,0,Red,(A),0,Green
21,2,0,Red,0,Red,(A),0,No change
7,0,0,Red,0,Red,(B),1,Red
7,1,0,Red,0,Red,(B),0,No change
7,2,0,Red,0,Red,(B),0,No change
19,0,0,Red,0,Red,(B),1,Red
19,1,0,Red,0,Red,(B),0,Green
19,2,0,Red,0,Red,(B),1,Red
