Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
32,0,0,0.5XY,0,0.5XY,(B),0,2XY
32,1,0,0.5XY,0,0.5XY,(B),0,No change
32,2,0,0.5XY,0,0.5XY,(B),1,0.5XY
35,0,0,0.5XY,0,0.5XY,(B),0,2XY
35,1,0,0.5XY,0,0.5XY,(B),0,No change
35,2,0,0.5XY,0,0.5XY,(B),0,2XY
11,0,0,0.5XY,0,0.5XY,(B),0,2XY
11,1,0,0.5XY,0,0.5XY,(B),0,No change
11,2,0,0.5XY,0,0.5XY,(B),0,2XY
6,0,0,0.5XY,0,0.5XY,(B),0,2XY
6,1,0,0.5XY,0,0.5XY,(B),0,2XY
6,2,0,0.5XY,0,0.5XY,(B),0,2XY
38,0,0,0.5XY,0,0.5XY,(B),0,No change
38,1,0,0.5XY,0,0.5XY,(B),0,No change
38,2,0,0.5XY,0,0.5XY,(B),0,No change
