Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
26,0,0,2XY,0,2XY,(B),0,0.5XY
26,1,0,2XY,0,2XY,(B),1,2XY
26,2,0,2XY,0,2XY,(B),0,0.5XY
14,0,0,2XY,0,2XY,(B),1,2XY
14,1,0,2XY,0,2XY,(B),0,No change
14,2,0,2XY,0,2XY,(B),1,2XY
9,0,0,2XY,0,2XY,(B),0,0.5XY
9,1,0,2XY,0,2XY,(B),1,2XY
9,2,0,2XY,0,2XY,(B),1,2XY
18,0,0,2XY,0,2XY,(B),1,2XY
18,1,0,2XY,0,2XY,(B),0,0.5XY
18,2,0,2XY,0,2XY,(B),0,0.5XY
40,0,0,2XY,0,2XY,(B),1,2XY
40,1,0,2XY,0,2XY,(B),0,0.5XY
40,2,0,2XY,0,2XY,(B),0,0.5XY
