Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
31,0,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
31,1,0,0,0,0,(2) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,+90
31,2,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,+90
10,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Color of objects,,180
10,1,0,0,0,0,(2) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,+90
10,2,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
2,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,180
2,1,0,0,0,0,(2) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
2,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,+90
7,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(B),0,,0,Color of objects,,180
7,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,+90
7,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,180
48,0,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
48,1,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
48,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,+90
