Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
22,0,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
22,1,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-90
22,2,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-90
2,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-90
2,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-90
2,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,180
25,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
25,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
25,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
32,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
32,1,0,0,0,0,(2) Color of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Color of objects,,No change
32,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-90
8,0,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-90
8,1,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-90
8,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-90
