Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
14,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,90
14,1,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,90
14,2,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,90
19,0,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,90
19,1,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
19,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,180
11,0,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,180
11,1,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,+90
11,2,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,+90
38,0,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
38,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0,Orientation of objects,,+90
38,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
47,0,0,0,0,0,(2) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,180
47,1,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,180
47,2,0,0,0,0,(2) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
