Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
29,0,0,0,0,0,(1) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
29,1,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,Blue
29,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
3,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,Red
3,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,Red
3,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,Red
20,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Color of objects,,No change
20,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Color of objects,,No change
20,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Color of objects,,Green
49,0,0,0,0,0,(2) Color of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Color of objects,,Blue
49,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,Green
49,2,0,0,0,0,(3) Color of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Color of objects,,No change
38,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,1,Orientation of objects,,No change
38,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
38,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0,Orientation of objects,,Blue
