Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
28,0,4,4,4,4,(1) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
28,1,4,4,4,4,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
28,2,4,4,4,4,(1) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
46,0,3,3,3,3,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
46,1,3,3,3,3,(1) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
46,2,3,3,3,3,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,+1
12,0,2,2,2,2,(1) (2) (3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,+1
12,1,2,2,2,2,(1),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
12,2,2,2,2,2,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
14,0,2,2,2,2,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,+1
14,1,2,2,2,2,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
14,2,2,2,2,2,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,+1
4,0,4,4,4,4,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
4,1,4,4,4,4,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
4,2,4,4,4,4,(1) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
