Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
17,0,5,5,5,5,(1),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
17,1,5,5,5,5,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,+1
17,2,5,5,5,5,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
16,0,5,5,5,5,(1),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
16,1,5,5,5,5,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
16,2,5,5,5,5,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,+1
43,0,3,3,3,3,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,-1
43,1,3,3,3,3,(4),(3),(A),1,1.0,0,No change between pictures,No change between pictures,+1
43,2,3,3,3,3,(3) Color of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Color of objects,,No change
15,0,4,4,4,4,(1) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,+1
15,1,4,4,4,4,(1) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
15,2,4,4,4,4,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
21,0,3,3,3,3,(1),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Number of objects,,No change
21,1,3,3,3,3,(1),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
21,2,3,3,3,3,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,-1
