Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
14,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,X
14,1,0,0,0,0,(2) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,X
14,2,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,X
7,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(B),0,,0,Color of objects,,Y
7,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,Y
7,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,X
13,0,0,0,0,0,(2) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,X
13,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,Y
13,2,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,X
38,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,Y
38,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
38,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(B),0,,1,Orientation of objects,,No change
43,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
43,1,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,Y
43,2,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,Y
