Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
18,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,0.5XY
18,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,2XY
18,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(B),0,,0,Orientation of objects,,2XY
7,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
7,1,0,0,0,0,(3) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
7,2,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
0,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,2XY
0,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,2XY
0,2,0,0,0,0,(1) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
28,0,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,2XY
28,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
28,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,0.5XY
46,0,0,0,0,0,(1) Number of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,2XY
46,1,0,0,0,0,(1) Color of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Color of objects,,2XY
46,2,0,0,0,0,(2) Color of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Color of objects,,0.5XY
