Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full#1,Full#2,Full#3,MCResponse#1,MCResponse#2,MCResponse#3,Response#1,Response#2,Response#3
39,0,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Orientation of objects,,No change
39,1,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,0.5XY
39,2,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,1,Size of objects,,No change
23,0,0,0,0,0,"(1) (Color of objects) The left image has a pink donut, while the right image has a pink and yellow donut. The transformation is a change in the color of the donut.","[Skipped mcq#2, incorrect previous response]","(A) The left image has a pink donut, while the right image has a pink and yellow donut. The transformation is a change in the color of the donut.",0,,0,Color of objects,,0.5XY
23,1,0,0,0,0,"(1) (Color of objects) The left image has a pink donut, while the right image has a pink and yellow donut. The transformation is a change in the color of the donut.","[Skipped mcq#2, incorrect previous response]","(A) The left image has a pink donut, while the right image has a pink and yellow donut. The transformation is a change in the color of the donut.",0,,0,Color of objects,,2XY
23,2,0,0,0,0,"(1) (Color of objects) The left image has a pink donut, while the right image has a pink and yellow donut. The transformation is a change in the color of the donut.","[Skipped mcq#2, incorrect previous response]","(A) (Color of objects) The left image has a pink donut, while the right image has a pink and yellow donut. The transformation is a change in the color of the donut.",0,,0,Color of objects,,2XY
41,0,0,0,0,0,(2) Size of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,2XY
41,1,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,2XY
41,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,0.5XY
37,0,0,0,0,0,(3),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Size of objects,,2XY
37,1,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,2XY
37,2,0,0,0,0,(2),"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Number of objects,,2XY
3,0,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,0.5XY
3,1,0,0,0,0,(2) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,2XY
3,2,0,0,0,0,(1) Orientation of objects,"[Skipped mcq#2, incorrect previous response]",(A),0,,0,Orientation of objects,,0.5XY
